ID	niches
3300013094_32	Freshwater
3300025358_1	Freshwater
3300025396_3	Freshwater
3300025418_3	Freshwater
3300025782_1	Freshwater
3300015360_44	Freshwater
3300020192_24	Freshwater
3300020201_27	Freshwater
3300020203_21	Freshwater
3300020596_21	Freshwater
3300017531_13	Freshwater
3300020192_25	Freshwater
3300014203_33	Freshwater
3300018868_7	Freshwater
3300017399_4	Freshwater
3300014720_28	Freshwater
anoxic_mOTU_0066	Freshwater
3300013004_118	Freshwater
3300028559_57	Freshwater
3300028569_72	Freshwater
3300013126_120	Freshwater
3300013137_178	Freshwater
3300013127_30	Freshwater
3300013128_35	Freshwater
3300013133_37	Freshwater
3300017526_18	Freshwater
3300011368_1	Freshwater
anoxic_mOTU_2533	Freshwater
3300013130_22	Freshwater
3300017526_11	Freshwater
3300000227_43	Freshwater
3300005805_32	Freshwater
3300015360_87	Freshwater
3300027743_16	Freshwater
3300029891_18	Freshwater
anoxic_mOTU_0482	Freshwater
anoxic_mOTU_2257	Freshwater
3300029821_25	Freshwater
anoxic_mOTU_0722	Freshwater
anoxic_mOTU_3422	Freshwater
3300000228_11	Freshwater
3300024946_1	Freshwater
anoxic_mOTU_0417	Freshwater
anoxic_mOTU_1145	Freshwater
3300013131_31	Freshwater
3300013132_34	Freshwater
3300014720_16	Freshwater
3300017788_39	Freshwater
3300014060_21	Freshwater
anoxic_mOTU_0060	Freshwater
anoxic_mOTU_3200	Freshwater
anoxic_mOTU_2526	Freshwater
anoxic_mOTU_2798	Freshwater
anoxic_mOTU_2436	Freshwater
anoxic_mOTU_2440	Freshwater
3300019752_3	Freshwater
3300019935_2	Freshwater
3300024054_47	Freshwater
3300029891_20	Freshwater
3300013128_24	Freshwater
3300013129_24	Freshwater
3300015370_35	Freshwater
3300023177_9	Freshwater
3300009083_42	Freshwater
3300009084_43	Freshwater
3300015360_31	Freshwater
3300020180_13	Freshwater
3300027823_12	Freshwater
3300027850_22	Freshwater
3300027878_28	Freshwater
3300020083_79	Freshwater
3300027638_8	Freshwater
anoxic_mOTU_2259	Freshwater
anoxic_mOTU_1125	Freshwater
3300007519_62	Freshwater
3300027832_55	Freshwater
3300027848_58	Freshwater
3300027976_43	Freshwater
3300027712_31	Freshwater
anoxic_mOTU_0439	Freshwater
3300017788_33	Freshwater
3300027534_1	Freshwater
3300005805_22	Freshwater
3300013392_2	Freshwater
3300027760_24	Freshwater
3300015370_17	Freshwater
anoxic_mOTU_1407	Freshwater
3300007517_50	Freshwater
3300029821_23	Freshwater
3300029890_10	Freshwater
3300027726_4	Freshwater
3300027762_4	Freshwater
3300014656_14	Freshwater
3300027815_18	Freshwater
3300027896_78	Freshwater
3300013126_96	Freshwater
anoxic_mOTU_2057	Freshwater
3300013136_68	Freshwater
3300027835_31	Freshwater
anoxic_mOTU_1136	Freshwater
3300013131_122	Freshwater
3300013132_140	Freshwater
3300027970_52	Freshwater
3300028553_51	Freshwater
anoxic_mOTU_0527	Freshwater
3300027649_30	Freshwater
3300027816_38	Freshwater
anoxic_mOTU_1990	Freshwater
anoxic_mOTU_2550	Freshwater
anoxic_mOTU_1690	Freshwater
3300028557_51	Freshwater
