GCF.fit_predict.clusterID	Others	RiPPs	NRPS	PKS	Terpene
gcf_0	0.0	1.0	1.5	0.0	0.0
gcf_1	0.08333333333333333	0.0	1.0833333333333333	1.0	0.0
gcf_10	0.0	0.0	1.0	0.0625	1.0
gcf_100	1.0	1.0	0.0	0.0	0.0
gcf_101	1.0	0.0	1.0	0.0	0.0
gcf_102	0.0	0.0	0.0	1.0	0.0
gcf_103	0.0	0.0	0.0	1.0	0.0
gcf_104	1.0	1.0	0.0	0.0	0.0
gcf_105	2.0	0.0	0.0	0.0	0.0
gcf_106	1.0	0.0	0.0	0.0	0.0
gcf_107	1.0	0.0	1.0	0.0	0.0
gcf_108	1.0	0.0	1.0	0.0	0.0
gcf_109	1.0	0.0	0.0	0.0	0.0
gcf_11	0.8	0.0	0.0	2.0	0.0
gcf_110	1.0	1.0	0.0	0.0	0.0
gcf_111	2.0	0.0	0.0	0.0	0.0
gcf_112	0.0	1.0	0.0	0.0	0.0
gcf_113	1.0	0.0	0.0	0.0	1.0
gcf_114	1.0	0.0	0.0	1.0	0.0
gcf_115	0.0	0.0	0.0	1.0	1.0
gcf_116	2.0	0.0	0.0	0.0	0.0
gcf_117	1.0	0.0	0.0	1.0	0.0
gcf_118	1.0	0.0	0.0	0.0	0.0
gcf_119	1.0	0.0	0.0	0.0	0.0
gcf_12	1.5714285714285714	0.0	1.0	0.0	0.0
gcf_120	1.0	0.0	1.0	0.0	0.0
gcf_121	1.0	0.0	1.0	0.0	0.0
gcf_122	1.0	0.0	0.0	1.0	0.0
gcf_123	1.0	0.0	0.0	1.0	0.0
gcf_124	1.0	0.0	0.0	1.0	0.0
gcf_125	1.0	0.0	0.0	0.0	1.0
gcf_126	1.0	0.0	1.0	0.0	0.0
gcf_127	0.0	1.0	0.0	0.0	0.0
gcf_128	1.0	1.0	0.0	0.0	0.0
gcf_129	0.0	0.0	0.0	1.0	0.0
gcf_13	1.0	0.0	1.5	0.0	0.0
gcf_130	1.0	1.0	0.0	0.0	0.0
gcf_131	1.0	0.0	0.0	0.0	0.0
gcf_132	0.0	1.0	0.0	0.0	0.0
gcf_133	1.0	0.0	0.0	0.0	0.0
gcf_134	1.0	0.0	0.0	1.0	0.0
gcf_135	1.0	1.0	0.0	0.0	0.0
gcf_136	0.0	1.0	0.0	1.0	0.0
gcf_137	1.0	0.0	0.0	0.0	0.0
gcf_138	0.0	1.0	0.0	0.0	0.0
gcf_139	1.0	1.0	0.0	0.0	0.0
gcf_14	1.0	1.5	0.0	0.0	0.0
gcf_140	0.0	1.0	0.0	0.0	0.0
gcf_141	0.0	1.0	0.0	0.0	0.0
gcf_142	1.0	1.0	0.0	0.0	0.0
gcf_143	1.0	1.0	0.0	0.0	0.0
gcf_144	0.0	1.0	0.0	0.0	0.0
gcf_145	1.0	1.0	0.0	0.0	0.0
gcf_146	1.0	0.0	0.0	0.0	0.0
gcf_147	1.0	0.0	0.0	0.0	0.0
gcf_148	1.0	0.0	1.0	0.0	0.0
gcf_149	1.0	0.0	0.0	0.0	0.0
gcf_15	0.5	1.0	0.0	1.0	0.0
gcf_150	0.0	0.0	0.0	1.0	0.0
gcf_151	1.0	0.0	0.0	0.0	0.0
gcf_152	0.0	1.0	1.0	0.0	0.0
gcf_153	1.0	0.0	0.0	0.0	0.0
gcf_154	1.0	0.0	0.0	0.0	1.0
gcf_155	0.0	1.0	0.0	0.0	0.0
gcf_156	1.0	0.0	0.0	0.0	0.0
gcf_157	0.0	1.0	0.0	0.0	0.0
gcf_158	1.0	0.0	0.0	1.0	0.0
gcf_159	2.0	0.0	0.0	0.0	0.0
gcf_16	1.0	0.0	1.0	0.3333333333333333	0.0
