ID	GID	level	Counts	Total	Prevalence	Group
0	gcc_3	Marine	2471	4214	0.5863787375415282	Marine
1	gcc_3	Freshwater	686	4214	0.16279069767441862	Freshwater
2	gcc_3	Terrestrial	1057	4214	0.25083056478405313	Terrestrial
3	gcc_29	Marine	6535	9732	0.6714960953555281	Marine
4	gcc_29	Freshwater	1549	9732	0.15916563912864776	Freshwater
5	gcc_29	Terrestrial	1648	9732	0.1693382655158241	Terrestrial
6	gcc_38	Marine	1496	2486	0.6017699115044248	Marine
7	gcc_38	Freshwater	185	2486	0.07441673370876911	Freshwater
8	gcc_38	Terrestrial	805	2486	0.3238133547868061	Terrestrial
9	gcc_4	Marine	1091	2999	0.36378792930976994	Marine
10	gcc_4	Freshwater	512	2999	0.1707235745248416	Freshwater
11	gcc_4	Terrestrial	1396	2999	0.46548849616538845	Terrestrial
12	gcc_8	Marine	489	718	0.6810584958217271	Marine
13	gcc_8	Freshwater	129	718	0.1796657381615599	Freshwater
14	gcc_8	Terrestrial	100	718	0.1392757660167131	Terrestrial
15	gcc_26	Marine	852	1072	0.7947761194029851	Marine
16	gcc_26	Freshwater	50	1072	0.04664179104477612	Freshwater
17	gcc_26	Terrestrial	170	1072	0.15858208955223882	Terrestrial
18	gcc_14	Marine	799	1879	0.4252261841405003	Marine
19	gcc_14	Freshwater	425	1879	0.2261841405002661	Freshwater
20	gcc_14	Terrestrial	655	1879	0.34858967535923363	Terrestrial
21	gcc_6	Marine	257	657	0.3911719939117199	Marine
22	gcc_6	Freshwater	24	657	0.0365296803652968	Freshwater
23	gcc_6	Terrestrial	376	657	0.5722983257229832	Terrestrial
24	gcc_15	Marine	120	344	0.3488372093023256	Marine
25	gcc_15	Freshwater	3	344	0.00872093023255814	Freshwater
26	gcc_15	Terrestrial	221	344	0.6424418604651163	Terrestrial
27	gcc_37	Marine	768	1920	0.4	Marine
28	gcc_37	Freshwater	250	1920	0.13020833333333334	Freshwater
29	gcc_37	Terrestrial	902	1920	0.46979166666666666	Terrestrial
30	gcc_36	Marine	96	277	0.34657039711191334	Marine
31	gcc_36	Freshwater	43	277	0.1552346570397112	Freshwater
32	gcc_36	Terrestrial	138	277	0.4981949458483754	Terrestrial
33	gcc_5	Marine	837	1721	0.4863451481696688	Marine
34	gcc_5	Freshwater	354	1721	0.20569436374201047	Freshwater
35	gcc_5	Terrestrial	530	1721	0.3079604880883207	Terrestrial
36	gcc_2	Marine	46	157	0.2929936305732484	Marine
37	gcc_2	Freshwater	44	157	0.2802547770700637	Freshwater
38	gcc_2	Terrestrial	67	157	0.4267515923566879	Terrestrial
39	gcc_33	Marine	6	20	0.3	Marine
40	gcc_33	Freshwater	10	20	0.5	Freshwater
41	gcc_33	Terrestrial	4	20	0.2	Terrestrial
42	gcc_0	Marine	76	174	0.4367816091954023	Marine
43	gcc_0	Freshwater	39	174	0.22413793103448276	Freshwater
44	gcc_0	Terrestrial	59	174	0.3390804597701149	Terrestrial
45	gcc_12	Marine	72	368	0.1956521739130435	Marine
46	gcc_12	Freshwater	32	368	0.08695652173913043	Freshwater
47	gcc_12	Terrestrial	264	368	0.717391304347826	Terrestrial
48	gcc_18	Marine	107	186	0.5752688172043011	Marine
49	gcc_18	Freshwater	38	186	0.20430107526881722	Freshwater
50	gcc_18	Terrestrial	41	186	0.22043010752688172	Terrestrial
51	gcc_9	Marine	616	967	0.6370217166494312	Marine
52	gcc_9	Freshwater	103	967	0.10651499482936919	Freshwater
53	gcc_9	Terrestrial	248	967	0.2564632885211996	Terrestrial
54	gcc_11	Marine	100	154	0.6493506493506493	Marine
55	gcc_11	Freshwater	21	154	0.13636363636363635	Freshwater
56	gcc_11	Terrestrial	33	154	0.21428571428571427	Terrestrial
57	gcc_7	Marine	26	65	0.4	Marine
58	gcc_7	Freshwater	9	65	0.13846153846153847	Freshwater
59	gcc_7	Terrestrial	30	65	0.46153846153846156	Terrestrial
60	gcc_25	Marine	5	8	0.625	Marine
61	gcc_25	Freshwater	2	8	0.25	Freshwater
62	gcc_25	Terrestrial	1	8	0.125	Terrestrial
63	gcc_24	Marine	14	24	0.5833333333333334	Marine
64	gcc_24	Terrestrial	10	24	0.4166666666666667	Terrestrial
65	gcc_1	Marine	13	28	0.4642857142857143	Marine
66	gcc_1	Freshwater	5	28	0.17857142857142858	Freshwater
67	gcc_1	Terrestrial	10	28	0.35714285714285715	Terrestrial
68	gcc_17	Marine	135	406	0.33251231527093594	Marine
69	gcc_17	Freshwater	74	406	0.18226600985221675	Freshwater
70	gcc_17	Terrestrial	197	406	0.4852216748768473	Terrestrial
71	gcc_10	Marine	65	281	0.2313167259786477	Marine
72	gcc_10	Freshwater	37	281	0.13167259786476868	Freshwater
73	gcc_10	Terrestrial	179	281	0.6370106761565836	Terrestrial
74	gcc_16	Marine	42	60	0.7	Marine
75	gcc_16	Freshwater	13	60	0.21666666666666667	Freshwater
76	gcc_16	Terrestrial	5	60	0.08333333333333333	Terrestrial
77	gcc_22	Marine	31	171	0.18128654970760233	Marine
78	gcc_22	Freshwater	88	171	0.5146198830409356	Freshwater
79	gcc_22	Terrestrial	52	171	0.30409356725146197	Terrestrial
80	gcc_20	Marine	15	22	0.6818181818181818	Marine
81	gcc_20	Freshwater	4	22	0.18181818181818182	Freshwater
82	gcc_20	Terrestrial	3	22	0.13636363636363635	Terrestrial
83	gcc_30	Marine	31	90	0.34444444444444444	Marine
84	gcc_30	Freshwater	15	90	0.16666666666666666	Freshwater
85	gcc_30	Terrestrial	44	90	0.4888888888888889	Terrestrial
86	gcc_34	Marine	15	32	0.46875	Marine
87	gcc_34	Freshwater	5	32	0.15625	Freshwater
88	gcc_34	Terrestrial	12	32	0.375	Terrestrial
89	gcc_13	Marine	9	41	0.21951219512195122	Marine
90	gcc_13	Freshwater	13	41	0.3170731707317073	Freshwater
91	gcc_13	Terrestrial	19	41	0.4634146341463415	Terrestrial
92	gcc_27	Marine	1	52	0.019230769230769232	Marine
93	gcc_27	Freshwater	4	52	0.07692307692307693	Freshwater
94	gcc_27	Terrestrial	47	52	0.9038461538461539	Terrestrial
95	gcc_28	Marine	1	112	0.008928571428571428	Marine
96	gcc_28	Freshwater	16	112	0.14285714285714285	Freshwater
97	gcc_28	Terrestrial	95	112	0.8482142857142857	Terrestrial
98	gcc_32	Marine	3	15	0.2	Marine
99	gcc_32	Terrestrial	12	15	0.8	Terrestrial
100	gcc_39	Freshwater	2	4	0.5	Freshwater
101	gcc_39	Terrestrial	2	4	0.5	Terrestrial
102	gcc_40	Freshwater	3	4	0.75	Freshwater
103	gcc_40	Marine	1	4	0.25	Marine
104	gcc_31	Terrestrial	2	2	1.0	Terrestrial
105	gcc_35	Terrestrial	18	18	1.0	Terrestrial
106	gcc_19	Terrestrial	9	15	0.6	Terrestrial
107	gcc_19	Marine	6	15	0.4	Marine
108	gcc_21	Marine	4	4	1.0	Marine
109	gcc_23	Marine	1	1	1.0	Marine
