ID	GID	level	Counts	Total	Prevalence	Group
0	gcc_3	Marine:p__Cyanobacteria	462	4214	0.10963455149501661	Marine
1	gcc_3	Marine:p__Proteobacteria	1687	4214	0.4003322259136213	Marine
2	gcc_3	Marine:p__Bacteroidota	68	4214	0.01613668723303275	Marine
3	gcc_3	Marine:p__Desulfobacterota	23	4214	0.005457997152349312	Marine
4	gcc_3	Marine:p__Chlamydiota	2	4214	0.00047460844803037496	Marine
5	gcc_3	Marine:p__Myxococcota	32	4214	0.007593735168485999	Marine
6	gcc_3	Marine:p__Planctomycetota	69	4214	0.016373991457047935	Marine
7	gcc_3	Marine:p__Verrucomicrobiota	24	4214	0.005695301376364499	Marine
8	gcc_3	Marine:p__Acidobacteriota	7	4214	0.0016611295681063123	Marine
9	gcc_3	Marine:p__Chloroflexota	10	4214	0.0023730422401518746	Marine
10	gcc_3	Marine:p__Nitrospinota	14	4214	0.0033222591362126247	Marine
11	gcc_3	Marine:p__KSB1	2	4214	0.00047460844803037496	Marine
12	gcc_3	Marine:p__Bipolaricaulota	4	4214	0.0009492168960607499	Marine
13	gcc_3	Marine:p__Actinobacteriota	20	4214	0.004746084480303749	Marine
14	gcc_3	Marine:p__Spirochaetota	6	4214	0.0014238253440911248	Marine
15	gcc_3	Marine:p__Fusobacteriota	1	4214	0.00023730422401518748	Marine
16	gcc_3	Marine:p__Bdellovibrionota	18	4214	0.004271476032273375	Marine
17	gcc_3	Marine:p__Marinisomatota	1	4214	0.00023730422401518748	Marine
18	gcc_3	Marine:p__Firmicutes_A	3	4214	0.0007119126720455624	Marine
19	gcc_3	Marine:p__Cloacimonadota	1	4214	0.00023730422401518748	Marine
20	gcc_3	Marine:p__Gemmatimonadota	1	4214	0.00023730422401518748	Marine
21	gcc_3	Marine:p__Fermentibacterota	1	4214	0.00023730422401518748	Marine
22	gcc_3	Marine:p__Campylobacterota	4	4214	0.0009492168960607499	Marine
23	gcc_3	Marine:p__Desulfobacterota_B	1	4214	0.00023730422401518748	Marine
24	gcc_3	Marine:p__Calditrichota	1	4214	0.00023730422401518748	Marine
25	gcc_3	Freshwater:p__Proteobacteria	244	4214	0.05790223065970574	Freshwater
26	gcc_3	Freshwater:p__Bacteroidota	168	4214	0.03986710963455149	Freshwater
27	gcc_3	Freshwater:p__Verrucomicrobiota	19	4214	0.004508780256288562	Freshwater
28	gcc_3	Freshwater:p__Bdellovibrionota_C	1	4214	0.00023730422401518748	Freshwater
29	gcc_3	Freshwater:p__Chlamydiota	5	4214	0.0011865211200759373	Freshwater
30	gcc_3	Freshwater:p__Myxococcota	31	4214	0.007356430944470811	Freshwater
