ID	GID	level	Counts	Total	Prevalence	Group
0	gcf_132	Marine	2419	4112	0.5882782101167315	Marine
1	gcf_132	Freshwater	661	4112	0.1607490272373541	Freshwater
2	gcf_132	Terrestrial	1032	4112	0.2509727626459144	Terrestrial
3	gcf_179	Marine	6457	9608	0.6720441298917569	Marine
4	gcf_179	Freshwater	1526	9608	0.15882597835137385	Freshwater
5	gcf_179	Terrestrial	1625	9608	0.16912989175686927	Terrestrial
6	gcf_164	Marine	1471	2435	0.6041067761806982	Marine
7	gcf_164	Freshwater	175	2435	0.07186858316221766	Freshwater
8	gcf_164	Terrestrial	789	2435	0.3240246406570842	Terrestrial
9	gcf_7	Marine	29	30	0.9666666666666667	Marine
10	gcf_7	Terrestrial	1	30	0.03333333333333333	Terrestrial
11	gcf_153	Marine	166	274	0.6058394160583942	Marine
12	gcf_153	Freshwater	65	274	0.23722627737226276	Freshwater
13	gcf_153	Terrestrial	43	274	0.15693430656934307	Terrestrial
14	gcf_80	Marine	836	1056	0.7916666666666666	Marine
15	gcf_80	Freshwater	50	1056	0.04734848484848485	Freshwater
16	gcf_80	Terrestrial	170	1056	0.16098484848484848	Terrestrial
17	gcf_162	Marine	658	1598	0.4117647058823529	Marine
18	gcf_162	Freshwater	403	1598	0.2521902377972466	Freshwater
19	gcf_162	Terrestrial	537	1598	0.3360450563204005	Terrestrial
20	gcf_165	Marine	1	1	1.0	Marine
21	gcf_109	Marine	252	644	0.391304347826087	Marine
22	gcf_109	Freshwater	24	644	0.037267080745341616	Freshwater
23	gcf_109	Terrestrial	368	644	0.5714285714285714	Terrestrial
24	gcf_156	Marine	118	340	0.34705882352941175	Marine
25	gcf_156	Freshwater	3	340	0.008823529411764706	Freshwater
26	gcf_156	Terrestrial	219	340	0.6441176470588236	Terrestrial
27	gcf_82	Marine	661	1649	0.4008489993935719	Marine
28	gcf_82	Freshwater	220	1649	0.1334141904184354	Freshwater
