ID	GID	level	Counts	Total	Prevalence	Group
0	gcf_132	Marine:p__Cyanobacteria	455	4112	0.11065175097276264	Marine
1	gcf_132	Marine:p__Proteobacteria	1653	4112	0.40199416342412453	Marine
2	gcf_132	Marine:p__Bacteroidota	67	4112	0.01629377431906615	Marine
3	gcf_132	Marine:p__Desulfobacterota	22	4112	0.005350194552529183	Marine
4	gcf_132	Marine:p__Chlamydiota	2	4112	0.00048638132295719845	Marine
5	gcf_132	Marine:p__Myxococcota	29	4112	0.0070525291828793775	Marine
6	gcf_132	Marine:p__Planctomycetota	69	4112	0.016780155642023346	Marine
7	gcf_132	Marine:p__Verrucomicrobiota	23	4112	0.005593385214007782	Marine
8	gcf_132	Marine:p__Acidobacteriota	6	4112	0.0014591439688715954	Marine
9	gcf_132	Marine:p__Chloroflexota	10	4112	0.0024319066147859923	Marine
10	gcf_132	Marine:p__Nitrospinota	14	4112	0.003404669260700389	Marine
11	gcf_132	Marine:p__KSB1	1	4112	0.00024319066147859923	Marine
12	gcf_132	Marine:p__Bipolaricaulota	4	4112	0.0009727626459143969	Marine
13	gcf_132	Marine:p__Actinobacteriota	20	4112	0.0048638132295719845	Marine
14	gcf_132	Marine:p__Spirochaetota	6	4112	0.0014591439688715954	Marine
15	gcf_132	Marine:p__Fusobacteriota	1	4112	0.00024319066147859923	Marine
16	gcf_132	Marine:p__Bdellovibrionota	18	4112	0.004377431906614786	Marine
17	gcf_132	Marine:p__Marinisomatota	1	4112	0.00024319066147859923	Marine
18	gcf_132	Marine:p__Firmicutes_A	2	4112	0.00048638132295719845	Marine
19	gcf_132	Marine:p__Cloacimonadota	1	4112	0.00024319066147859923	Marine
20	gcf_132	Marine:p__Gemmatimonadota	1	4112	0.00024319066147859923	Marine
21	gcf_132	Marine:p__Fermentibacterota	1	4112	0.00024319066147859923	Marine
22	gcf_132	Marine:p__Campylobacterota	4	4112	0.0009727626459143969	Marine
23	gcf_132	Marine:p__Desulfobacterota_B	1	4112	0.00024319066147859923	Marine
24	gcf_132	Marine:p__Calditrichota	1	4112	0.00024319066147859923	Marine
25	gcf_132	Freshwater:p__Proteobacteria	241	4112	0.05860894941634241	Freshwater
26	gcf_132	Freshwater:p__Bacteroidota	167	4112	0.04061284046692607	Freshwater
27	gcf_132	Freshwater:p__Verrucomicrobiota	19	4112	0.004620622568093385	Freshwater
28	gcf_132	Freshwater:p__Bdellovibrionota_C	1	4112	0.00024319066147859923	Freshwater
29	gcf_132	Freshwater:p__Chlamydiota	5	4112	0.0012159533073929961	Freshwater
30	gcf_132	Freshwater:p__Myxococcota	30	4112	0.007295719844357977	Freshwater
31	gcf_132	Freshwater:p__Nitrospirota	10	4112	0.0024319066147859923	Freshwater
32	gcf_132	Freshwater:p__Firmicutes_A	5	4112	0.0012159533073929961	Freshwater
33	gcf_132	Freshwater:p__Synergistota	1	4112	0.00024319066147859923	Freshwater
34	gcf_132	Freshwater:p__Acidobacteriota	37	4112	0.00899805447470817	Freshwater
35	gcf_132	Freshwater:p__Desulfobacterota	13	4112	0.00316147859922179	Freshwater
36	gcf_132	Freshwater:p__Actinobacteriota	10	4112	0.0024319066147859923	Freshwater
37	gcf_132	Freshwater:p__Cyanobacteria	49	4112	0.011916342412451361	Freshwater
38	gcf_132	Freshwater:p__Bdellovibrionota	15	4112	0.0036478599221789884	Freshwater
39	gcf_132	Freshwater:p__Caldatribacteriota	2	4112	0.00048638132295719845	Freshwater
40	gcf_132	Freshwater:p__UBA10199	4	4112	0.0009727626459143969	Freshwater
41	gcf_132	Freshwater:p__Planctomycetota	16	4112	0.0038910505836575876	Freshwater
42	gcf_132	Freshwater:p__JABDJQ01	2	4112	0.00048638132295719845	Freshwater
43	gcf_132	Freshwater:p__Chloroflexota	6	4112	0.0014591439688715954	Freshwater
44	gcf_132	Freshwater:p__Fibrobacterota	4	4112	0.0009727626459143969	Freshwater
45	gcf_132	Freshwater:p__Omnitrophota	7	4112	0.0017023346303501946	Freshwater
46	gcf_132	Freshwater:p__Methylomirabilota	2	4112	0.00048638132295719845	Freshwater
47	gcf_132	Freshwater:p__Fusobacteriota	1	4112	0.00024319066147859923	Freshwater
48	gcf_132	Freshwater:p__Riflebacteria	1	4112	0.00024319066147859923	Freshwater
49	gcf_132	Freshwater:p__Spirochaetota	4	4112	0.0009727626459143969	Freshwater
50	gcf_132	Freshwater:p__Sumerlaeota	2	4112	0.00048638132295719845	Freshwater
51	gcf_132	Freshwater:p__Armatimonadota	2	4112	0.00048638132295719845	Freshwater
52	gcf_132	Freshwater:p__Desulfobacterota_B	2	4112	0.00048638132295719845	Freshwater
53	gcf_132	Freshwater:p__Margulisbacteria	1	4112	0.00024319066147859923	Freshwater
54	gcf_132	Freshwater:p__Gemmatimonadota	2	4112	0.00048638132295719845	Freshwater
