ID	Class
glycocin	RiPPs
sactipeptide	RiPPs
cyanobactin	RiPPs
proteusin	RiPPs
microviridin	RiPPs
LAP	RiPPs
lanthipeptide	RiPPs
linaridin	RiPPs
bacteriocin	RiPPs
thiopeptide	RiPPs
bottromycin	RiPPs
head_to_tail	RiPPs
RaS-RiPP	RiPPs
lassopeptide	RiPPs
glycocin	RiPPs
lipolanthine	RiPPs
NRPS	NRPS
NRPS-like	NRPS
PKS-like	PKS
T1PKS	PKS
T2PKS	PKS
T3PKS	PKS
transAT-PKS	PKS
transAT-PKS-like	PKS
terpene	Terpene
acyl_amino_acids	Others
amglyccycl	Others
arylpolyene	Others
betalactone	Others
blactam	Others
butyrolactone	Others
CDPS	Others
ectoine	Others
furan	Others
hglE-KS	Others
hserlactone	Others
indole	Others
ladderane	Others
melanin	Others
NAGGN	Others
nucleoside	Others
oligosaccharide	Others
other	Others
PBDE	Others
phenazine	Others
phosphonate	Others
PpyS-KS	Others
PUFA	Others
resorcinol	Others
siderophore	Others
TfuA-related	Others
tropodithietic-acid	Others
phosphoglycolipid	Others
thioamide-NRP	Others
fused	Others
