ID	Marine	Freshwater	Terrestrial	Type
f__	1	1	1	3niches
f__0-14-0-80-60-11	0	1	1	2niches
f__01-FULL-45-10b	0	1	0	1niches
f__1-14-0-20-64-10	0	1	0	1niches
f__2-01-FULL-45-10	0	1	0	1niches
f__2-01-FULL-56-20	0	1	0	1niches
f__2-02-FULL-35-15	0	1	0	1niches
f__2-02-FULL-51-18	0	1	0	1niches
f__2-02-FULL-66-22	0	1	0	1niches
f__4484-171	1	1	1	3niches
f__70-9	0	1	1	2niches
f__A4b	1	1	0	2niches
f__AcAMD-5	0	1	0	1niches
f__Acetivibrionaceae	0	1	1	2niches
f__Acetobacteraceae	0	1	1	2niches
f__Acholeplasmataceae	0	1	1	2niches
f__Acidithiobacillaceae	0	1	0	1niches
f__Acidobacteriaceae	1	1	1	3niches
f__Akkermansiaceae	1	1	0	2niches
f__Alteromonadaceae	1	1	1	3niches
f__Aminobacteriaceae	0	1	0	1niches
f__Anaerolineaceae	0	1	1	2niches
f__Armatimonadaceae	0	1	0	1niches
f__Azospirillaceae	0	1	0	1niches
f__B-17BO	0	1	1	2niches
f__BACL12	0	1	0	1niches
f__Bacteriovoracaceae	1	1	0	2niches
f__Baltobacteraceae	0	1	1	2niches
f__BBW3	0	1	0	1niches
f__Bdellovibrionaceae	1	1	1	3niches
f__Beggiatoaceae	0	1	0	1niches
f__Beijerinckiaceae	1	1	1	3niches
f__Binataceae	0	1	1	2niches
f__BM103	1	1	1	3niches
f__Bog-793	0	1	1	2niches
f__Bryobacteraceae	0	1	1	2niches
f__Burkholderiaceae	1	1	1	3niches
f__CACXFL01	0	1	0	1niches
f__CAG-138	0	1	1	2niches
f__CAG-312	0	1	0	1niches
f__CAG-382	0	1	0	1niches
f__CAG-826	0	1	0	1niches
f__CAIKAF01	0	1	1	2niches
f__CAIKLP01	0	1	0	1niches
f__CAILMK01	0	1	0	1niches
f__CAIMTB01	0	1	0	1niches
f__CAIOSU01	0	1	0	1niches
f__CAIQBE01	0	1	0	1niches
f__CAIQOK01	0	1	0	1niches
f__CAIRTM01	0	1	0	1niches
f__CAISUE01	0	1	0	1niches
