IDGroup	phylum	num	Type
Marine	p__Acidobacteriota	40	3niches
Marine	p__Actinobacteriota	242	3niches
Marine	p__Bacteroidota	1233	3niches
Marine	p__Bdellovibrionota	32	3niches
Marine	p__Chlamydiota	7	3niches
Marine	p__Chloroflexota	339	3niches
Marine	p__Cyanobacteria	330	3niches
Marine	p__Desulfobacterota	27	3niches
Marine	p__Desulfobacterota_B	1	3niches
Marine	p__Desulfobacterota_D	26	3niches
Marine	p__Desulfobacterota_E	2	3niches
Marine	p__Desulfobacterota_F	3	3niches
Marine	p__Desulfobacterota_F	3	3niches
Marine	p__Firmicutes	9	3niches
Marine	p__Firmicutes_A	2	3niches
Marine	p__Firmicutes_A	2	3niches
Marine	p__Gemmatimonadota	44	3niches
Marine	p__Myxococcota	29	3niches
Marine	p__Nitrospirota	8	3niches
Marine	p__Omnitrophota	2	3niches
Marine	p__Patescibacteria	4	3niches
Marine	p__Planctomycetota	198	3niches
Marine	p__Proteobacteria	3361	3niches
Marine	p__Spirochaetota	5	3niches
Marine	p__Verrucomicrobiota	184	3niches
Marine	p__Zixibacteria	3	3niches
Freshwater	p__Acidobacteriota	54	3niches
Freshwater	p__Actinobacteriota	88	3niches
Freshwater	p__Bacteroidota	294	3niches
Freshwater	p__Bdellovibrionota	39	3niches
Freshwater	p__Bdellovibrionota_C	3	3niches
Freshwater	p__Chlamydiota	6	3niches
Freshwater	p__Chloroflexota	68	3niches
Freshwater	p__Cyanobacteria	32	3niches
Freshwater	p__Desulfobacterota	95	3niches
Freshwater	p__Desulfobacterota_B	7	3niches
Freshwater	p__Desulfobacterota_F	6	3niches
Freshwater	p__Desulfobacterota_G	7	3niches
Freshwater	p__Desulfobacterota_F	6	3niches
Freshwater	p__Firmicutes	4	3niches
Freshwater	p__Firmicutes_A	10	3niches
Freshwater	p__Firmicutes_B	4	3niches
Freshwater	p__Firmicutes_C	1	3niches
Freshwater	p__Firmicutes_D	1	3niches
Freshwater	p__Firmicutes_A	10	3niches
Freshwater	p__Gemmatimonadota	8	3niches
Freshwater	p__Myxococcota	17	3niches
Freshwater	p__Nitrospirota	20	3niches
Freshwater	p__Omnitrophota	46	3niches
Freshwater	p__Patescibacteria	18	3niches
Freshwater	p__Planctomycetota	132	3niches
Freshwater	p__Proteobacteria	284	3niches
Freshwater	p__Spirochaetota	13	3niches
Freshwater	p__Verrucomicrobiota	105	3niches
Freshwater	p__Zixibacteria	9	3niches
Terrestrial	p__Acidobacteriota	91	3niches
Terrestrial	p__Actinobacteriota	178	3niches
Terrestrial	p__Bacteroidota	373	3niches
Terrestrial	p__Bdellovibrionota	6	3niches
Terrestrial	p__Chlamydiota	4	3niches
Terrestrial	p__Chloroflexota	22	3niches
Terrestrial	p__Cyanobacteria	9	3niches
Terrestrial	p__Desulfobacterota	38	3niches
Terrestrial	p__Desulfobacterota_B	16	3niches
Terrestrial	p__Desulfobacterota_D	4	3niches
Terrestrial	p__Desulfobacterota_E	2	3niches
Terrestrial	p__Desulfobacterota_F	11	3niches
Terrestrial	p__Desulfobacterota_G	1	3niches
Terrestrial	p__Desulfobacterota_F	11	3niches
Terrestrial	p__Firmicutes	181	3niches
Terrestrial	p__Firmicutes_A	109	3niches
Terrestrial	p__Firmicutes_B	7	3niches
Terrestrial	p__Firmicutes_C	5	3niches
Terrestrial	p__Firmicutes_D	9	3niches
Terrestrial	p__Firmicutes_E	1	3niches
Terrestrial	p__Firmicutes_G	1	3niches
Terrestrial	p__Firmicutes_H	3	3niches
Terrestrial	p__Firmicutes_A	109	3niches
Terrestrial	p__Gemmatimonadota	23	3niches
Terrestrial	p__Myxococcota	12	3niches
Terrestrial	p__Nitrospirota	8	3niches
Terrestrial	p__Omnitrophota	5	3niches
Terrestrial	p__Patescibacteria	3	3niches
Terrestrial	p__Planctomycetota	17	3niches
Terrestrial	p__Proteobacteria	985	3niches
Terrestrial	p__Spirochaetota	2	3niches
Terrestrial	p__Verrucomicrobiota	27	3niches
Terrestrial	p__Zixibacteria	2	3niches
Freshwater	p__Armatimonadota	6	2niches
Terrestrial	p__Armatimonadota	3	2niches
Freshwater	p__Campylobacterota	11	2niches
Marine	p__Campylobacterota	6	2niches
Freshwater	p__CSP1-3	1	2niches
Terrestrial	p__CSP1-3	5	2niches
Freshwater	p__Deinococcota	2	2niches
Marine	p__Deinococcota	7	2niches
Freshwater	p__Dependentiae	1	2niches
Marine	p__Dependentiae	2	2niches
Marine	p__Desulfobacterota_D	26	2niches
Terrestrial	p__Desulfobacterota_D	4	2niches
Marine	p__Desulfobacterota_E	2	2niches
Terrestrial	p__Desulfobacterota_E	2	2niches
Freshwater	p__Desulfobacterota_G	7	2niches
Terrestrial	p__Desulfobacterota_G	1	2niches
Freshwater	p__Eisenbacteria	1	2niches
Marine	p__Eisenbacteria	1	2niches
Freshwater	p__Elusimicrobiota	4	2niches
Terrestrial	p__Elusimicrobiota	1	2niches
Freshwater	p__Eremiobacterota	4	2niches
Terrestrial	p__Eremiobacterota	11	2niches
Freshwater	p__FCPU426	1	2niches
Terrestrial	p__FCPU426	1	2niches
Freshwater	p__Firmicutes_B	4	2niches
Terrestrial	p__Firmicutes_B	7	2niches
Freshwater	p__Firmicutes_C	1	2niches
Terrestrial	p__Firmicutes_C	5	2niches
Freshwater	p__Firmicutes_D	1	2niches
Terrestrial	p__Firmicutes_D	9	2niches
Freshwater	p__Fusobacteriota	1	2niches
Marine	p__Fusobacteriota	7	2niches
Marine	p__KSB1	3	2niches
Terrestrial	p__KSB1	2	2niches
Freshwater	p__Latescibacterota	2	2niches
Marine	p__Latescibacterota	18	2niches
Freshwater	p__Margulisbacteria	3	2niches
Marine	p__Margulisbacteria	16	2niches
Marine	p__Marinisomatota	133	2niches
Terrestrial	p__Marinisomatota	1	2niches
Freshwater	p__Nitrospinota	1	2niches
Marine	p__Nitrospinota	23	2niches
Marine	p__OLB16	1	2niches
Terrestrial	p__OLB16	1	2niches
Freshwater	p__Synergistota	1	2niches
Terrestrial	p__Synergistota	3	2niches
Freshwater	p__WOR-3	4	2niches
Marine	p__WOR-3	4	2niches
Marine	p__Aquificota	1	1niches
Freshwater	p__Bdellovibrionota_C	3	1niches
Marine	p__Bipolaricaulota	7	1niches
Freshwater	p__Caldatribacteriota	1	1niches
Freshwater	p__Caldisericota	4	1niches
Marine	p__Calditrichota	3	1niches
Marine	p__Cloacimonadota	1	1niches
Terrestrial	p__Deferribacterota	2	1niches
Freshwater	p__Delongbacteria	2	1niches
Terrestrial	p__Dormibacterota	6	1niches
Marine	p__Fermentibacterota	1	1niches
Terrestrial	p__Firmicutes_E	1	1niches
Terrestrial	p__Firmicutes_G	1	1niches
Terrestrial	p__Firmicutes_H	3	1niches
Marine	p__Hydrogenedentota	1	1niches
Freshwater	p__JABDJQ01	2	1niches
Freshwater	p__Methylomirabilota	8	1niches
Marine	p__Poribacteria	4	1niches
Marine	p__QNDG01	3	1niches
Freshwater	p__Riflebacteria	3	1niches
Marine	p__SAR324	144	1niches
Freshwater	p__Sumerlaeota	3	1niches
Marine	p__TA06	2	1niches
Marine	p__Thermosulfidibacterota	1	1niches
Freshwater	p__UBA10199	4	1niches
Marine	p__UBA3054	1	1niches
Freshwater	p__UBP15	1	1niches
Marine	p__UBP17	9	1niches
