ID	GID	level	Counts	Total	Prevalence	Group
0	GC_37	Freshwater	3	34	8.823529411764707	Freshwater
1	GC_37	Marine	20	34	58.82352941176471	Marine
2	GC_37	Terrestrial	11	34	32.35294117647059	Terrestrial
3	GC_170	Freshwater	256	1387	18.457101658255226	Freshwater
4	GC_170	Marine	1006	1387	72.53064167267483	Marine
5	GC_170	Terrestrial	125	1387	9.012256669069934	Terrestrial
6	GC_65	Freshwater	2	2	100.0	Freshwater
7	GC_148	Freshwater	8	17	47.05882352941176	Freshwater
8	GC_148	Marine	2	17	11.76470588235294	Marine
9	GC_148	Terrestrial	7	17	41.17647058823529	Terrestrial
10	GC_248	Freshwater	16	50	32.0	Freshwater
11	GC_248	Marine	21	50	42.0	Marine
12	GC_248	Terrestrial	13	50	26.0	Terrestrial
13	GC_127	Freshwater	15	48	31.25	Freshwater
14	GC_127	Marine	20	48	41.66666666666667	Marine
15	GC_127	Terrestrial	13	48	27.083333333333332	Terrestrial
16	GC_225	Freshwater	9	46	19.565217391304348	Freshwater
17	GC_225	Marine	21	46	45.65217391304348	Marine
18	GC_225	Terrestrial	16	46	34.78260869565217	Terrestrial
19	GC_28	Freshwater	2	5	40.0	Freshwater
20	GC_28	Marine	2	5	40.0	Marine
21	GC_28	Terrestrial	1	5	20.0	Terrestrial
22	GC_233	Freshwater	38	208	18.269230769230766	Freshwater
23	GC_233	Marine	135	208	64.90384615384616	Marine
24	GC_233	Terrestrial	35	208	16.826923076923077	Terrestrial
25	GC_9	Freshwater	7	39	17.94871794871795	Freshwater
26	GC_9	Marine	24	39	61.53846153846154	Marine
27	GC_9	Terrestrial	8	39	20.51282051282051	Terrestrial
28	GC_203	Freshwater	11	36	30.555555555555557	Freshwater
29	GC_203	Marine	16	36	44.44444444444444	Marine
30	GC_203	Terrestrial	9	36	25.0	Terrestrial
31	GC_60	Freshwater	2	5	40.0	Freshwater
32	GC_60	Marine	3	5	60.0	Marine
33	GC_324	Freshwater	2	3	66.66666666666666	Freshwater
34	GC_324	Terrestrial	1	3	33.33333333333333	Terrestrial
35	GC_257	Freshwater	1	2	50.0	Freshwater
36	GC_257	Marine	1	2	50.0	Marine
37	GC_468	Freshwater	1	2	50.0	Freshwater
38	GC_468	Terrestrial	1	2	50.0	Terrestrial
39	GC_111	Freshwater	7	25	28.000000000000004	Freshwater
40	GC_111	Marine	10	25	40.0	Marine
41	GC_111	Terrestrial	8	25	32.0	Terrestrial
42	GC_182	Freshwater	1	4	25.0	Freshwater
43	GC_182	Terrestrial	3	4	75.0	Terrestrial
44	GC_357	Freshwater	1	1	100.0	Freshwater
45	GC_18	Freshwater	4	12	33.33333333333333	Freshwater
46	GC_18	Marine	4	12	33.33333333333333	Marine
47	GC_18	Terrestrial	4	12	33.33333333333333	Terrestrial
48	GC_200	Freshwater	1	4	25.0	Freshwater
49	GC_200	Terrestrial	3	4	75.0	Terrestrial
50	GC_484	Freshwater	1	2	50.0	Freshwater
51	GC_484	Marine	1	2	50.0	Marine
52	GC_159	Freshwater	7	34	20.588235294117645	Freshwater
53	GC_159	Marine	22	34	64.70588235294117	Marine
54	GC_159	Terrestrial	5	34	14.705882352941178	Terrestrial
55	GC_179	Freshwater	1	2	50.0	Freshwater
