ID	GID	level	Counts	Total	Prevalence	Group
0	GC_37	Freshwater:p__Actinobacteriota	1	34	2.941176470588235	Freshwater
1	GC_37	Freshwater:Others	1	34	2.941176470588235	Freshwater
2	GC_37	Freshwater:p__Planctomycetota	1	34	2.941176470588235	Freshwater
3	GC_37	Marine:p__Proteobacteria	9	34	26.47058823529412	Marine
4	GC_37	Marine:p__Actinobacteriota	7	34	20.588235294117645	Marine
5	GC_37	Marine:p__Verrucomicrobiota	2	34	5.88235294117647	Marine
6	GC_37	Marine:p__Bacteroidota	2	34	5.88235294117647	Marine
7	GC_37	Terrestrial:p__Actinobacteriota	8	34	23.52941176470588	Terrestrial
8	GC_37	Terrestrial:p__Bacteroidota	2	34	5.88235294117647	Terrestrial
9	GC_37	Terrestrial:Others	1	34	2.941176470588235	Terrestrial
10	GC_170	Freshwater:p__Actinobacteriota	25	1387	1.802451333813987	Freshwater
11	GC_170	Freshwater:Others	33	1387	2.3792357606344625	Freshwater
12	GC_170	Freshwater:p__Bacteroidota	79	1387	5.695746214852199	Freshwater
13	GC_170	Freshwater:p__Verrucomicrobiota	36	1387	2.595529920692141	Freshwater
14	GC_170	Freshwater:p__Planctomycetota	30	1387	2.1629416005767843	Freshwater
15	GC_170	Freshwater:p__Proteobacteria	33	1387	2.3792357606344625	Freshwater
16	GC_170	Freshwater:p__Chloroflexota	14	1387	1.0093727469358327	Freshwater
17	GC_170	Freshwater:p__Patescibacteria	6	1387	0.43258832011535686	Freshwater
18	GC_170	Marine:p__Verrucomicrobiota	39	1387	2.81182408074982	Marine
19	GC_170	Marine:p__Bacteroidota	368	1387	26.532083633741887	Marine
20	GC_170	Marine:p__Proteobacteria	419	1387	30.20908435472242	Marine
21	GC_170	Marine:p__Chloroflexota	60	1387	4.325883201153569	Marine
22	GC_170	Marine:p__Planctomycetota	32	1387	2.3071377072819033	Marine
23	GC_170	Marine:p__Marinisomatota	29	1387	2.0908435472242246	Marine
24	GC_170	Marine:p__Cyanobacteria	9	1387	0.6488824801730353	Marine
25	GC_170	Marine:Others	32	1387	2.3071377072819033	Marine
26	GC_170	Marine:p__Actinobacteriota	18	1387	1.2977649603460706	Marine
27	GC_170	Terrestrial:p__Firmicutes	8	1387	0.5767844268204758	Terrestrial
28	GC_170	Terrestrial:p__Bacteroidota	54	1387	3.8932948810382118	Terrestrial
29	GC_170	Terrestrial:p__Actinobacteriota	14	1387	1.0093727469358327	Terrestrial
30	GC_170	Terrestrial:p__Proteobacteria	13	1387	0.9372746935832732	Terrestrial
31	GC_170	Terrestrial:Others	36	1387	2.595529920692141	Terrestrial
32	GC_65	Freshwater:Others	2	2	100.0	Freshwater
33	GC_148	Freshwater:Others	3	17	17.647058823529413	Freshwater
34	GC_148	Freshwater:p__Proteobacteria	4	17	23.52941176470588	Freshwater
35	GC_148	Freshwater:p__Verrucomicrobiota	1	17	5.88235294117647	Freshwater
36	GC_148	Marine:p__Planctomycetota	1	17	5.88235294117647	Marine
37	GC_148	Marine:p__Proteobacteria	1	17	5.88235294117647	Marine
38	GC_148	Terrestrial:p__Proteobacteria	2	17	11.76470588235294	Terrestrial
39	GC_148	Terrestrial:p__Actinobacteriota	1	17	5.88235294117647	Terrestrial
40	GC_148	Terrestrial:Others	4	17	23.52941176470588	Terrestrial
41	GC_248	Freshwater:Others	9	50	18.0	Freshwater
42	GC_248	Freshwater:p__Bacteroidota	3	50	6.0	Freshwater
43	GC_248	Freshwater:p__Verrucomicrobiota	2	50	4.0	Freshwater
44	GC_248	Freshwater:p__Planctomycetota	1	50	2.0	Freshwater
45	GC_248	Freshwater:p__Proteobacteria	1	50	2.0	Freshwater
46	GC_248	Marine:p__Verrucomicrobiota	2	50	4.0	Marine
47	GC_248	Marine:p__Bacteroidota	6	50	12.0	Marine
48	GC_248	Marine:p__Proteobacteria	5	50	10.0	Marine
49	GC_248	Marine:Others	7	50	14.000000000000002	Marine
50	GC_248	Marine:p__Planctomycetota	1	50	2.0	Marine
51	GC_248	Terrestrial:p__Firmicutes	6	50	12.0	Terrestrial
52	GC_248	Terrestrial:Others	3	50	6.0	Terrestrial
53	GC_248	Terrestrial:p__Bacteroidota	3	50	6.0	Terrestrial
54	GC_248	Terrestrial:p__Actinobacteriota	1	50	2.0	Terrestrial
55	GC_127	Freshwater:p__Bacteroidota	3	48	6.25	Freshwater
56	GC_127	Freshwater:Others	4	48	8.333333333333332	Freshwater
57	GC_127	Freshwater:p__Planctomycetota	2	48	4.166666666666666	Freshwater
58	GC_127	Freshwater:p__Chloroflexota	2	48	4.166666666666666	Freshwater
59	GC_127	Freshwater:p__Verrucomicrobiota	2	48	4.166666666666666	Freshwater
60	GC_127	Freshwater:p__Proteobacteria	2	48	4.166666666666666	Freshwater
61	GC_127	Marine:Others	5	48	10.416666666666668	Marine
62	GC_127	Marine:p__Planctomycetota	11	48	22.916666666666664	Marine
63	GC_127	Marine:p__Proteobacteria	4	48	8.333333333333332	Marine
64	GC_127	Terrestrial:Others	11	48	22.916666666666664	Terrestrial
65	GC_127	Terrestrial:p__Actinobacteriota	1	48	2.083333333333333	Terrestrial
66	GC_127	Terrestrial:p__Bacteroidota	1	48	2.083333333333333	Terrestrial
67	GC_225	Freshwater:p__Verrucomicrobiota	1	46	2.1739130434782608	Freshwater
68	GC_225	Freshwater:p__Bacteroidota	4	46	8.695652173913043	Freshwater
69	GC_225	Freshwater:Others	3	46	6.521739130434782	Freshwater
70	GC_225	Freshwater:p__Actinobacteriota	1	46	2.1739130434782608	Freshwater
71	GC_225	Marine:p__Proteobacteria	10	46	21.73913043478261	Marine
72	GC_225	Marine:p__Bacteroidota	7	46	15.217391304347828	Marine
73	GC_225	Marine:Others	2	46	4.3478260869565215	Marine
74	GC_225	Marine:p__Verrucomicrobiota	1	46	2.1739130434782608	Marine
75	GC_225	Marine:p__Planctomycetota	1	46	2.1739130434782608	Marine
76	GC_225	Terrestrial:p__Bacteroidota	9	46	19.565217391304348	Terrestrial
77	GC_225	Terrestrial:p__Proteobacteria	1	46	2.1739130434782608	Terrestrial
78	GC_225	Terrestrial:Others	6	46	13.043478260869565	Terrestrial
79	GC_28	Freshwater:p__Proteobacteria	2	5	40.0	Freshwater
80	GC_28	Marine:Others	1	5	20.0	Marine
81	GC_28	Marine:p__Proteobacteria	1	5	20.0	Marine
82	GC_28	Terrestrial:p__Proteobacteria	1	5	20.0	Terrestrial
83	GC_233	Freshwater:p__Proteobacteria	16	208	7.6923076923076925	Freshwater
84	GC_233	Freshwater:p__Verrucomicrobiota	3	208	1.4423076923076923	Freshwater
85	GC_233	Freshwater:p__Actinobacteriota	4	208	1.9230769230769231	Freshwater
86	GC_233	Freshwater:p__Chloroflexota	3	208	1.4423076923076923	Freshwater
87	GC_233	Freshwater:Others	4	208	1.9230769230769231	Freshwater
88	GC_233	Freshwater:p__Bacteroidota	6	208	2.8846153846153846	Freshwater
89	GC_233	Freshwater:p__Planctomycetota	2	208	0.9615384615384616	Freshwater
90	GC_233	Marine:p__Bacteroidota	17	208	8.173076923076923	Marine
91	GC_233	Marine:p__Proteobacteria	46	208	22.115384615384613	Marine
92	GC_233	Marine:p__Cyanobacteria	40	208	19.230769230769234	Marine
93	GC_233	Marine:Others	14	208	6.730769230769231	Marine
94	GC_233	Marine:p__Planctomycetota	10	208	4.807692307692308	Marine
95	GC_233	Marine:p__Verrucomicrobiota	3	208	1.4423076923076923	Marine
96	GC_233	Marine:p__Chloroflexota	3	208	1.4423076923076923	Marine
97	GC_233	Marine:p__Actinobacteriota	1	208	0.4807692307692308	Marine
98	GC_233	Marine:p__Marinisomatota	1	208	0.4807692307692308	Marine
99	GC_233	Terrestrial:Others	16	208	7.6923076923076925	Terrestrial
100	GC_233	Terrestrial:p__Proteobacteria	6	208	2.8846153846153846	Terrestrial
101	GC_233	Terrestrial:p__Firmicutes	3	208	1.4423076923076923	Terrestrial
102	GC_233	Terrestrial:p__Actinobacteriota	3	208	1.4423076923076923	Terrestrial
103	GC_233	Terrestrial:p__Bacteroidota	7	208	3.3653846153846154	Terrestrial
104	GC_9	Freshwater:p__Bacteroidota	2	39	5.128205128205128	Freshwater
105	GC_9	Freshwater:p__Proteobacteria	2	39	5.128205128205128	Freshwater
106	GC_9	Freshwater:p__Verrucomicrobiota	2	39	5.128205128205128	Freshwater
107	GC_9	Freshwater:p__Planctomycetota	1	39	2.564102564102564	Freshwater
108	GC_9	Marine:p__Bacteroidota	11	39	28.205128205128204	Marine
109	GC_9	Marine:p__Proteobacteria	10	39	25.64102564102564	Marine
110	GC_9	Marine:p__Verrucomicrobiota	1	39	2.564102564102564	Marine
111	GC_9	Marine:p__Planctomycetota	2	39	5.128205128205128	Marine
112	GC_9	Terrestrial:p__Bacteroidota	4	39	10.256410256410255	Terrestrial
113	GC_9	Terrestrial:p__Proteobacteria	4	39	10.256410256410255	Terrestrial
114	GC_203	Freshwater:p__Bacteroidota	1	36	2.7777777777777777	Freshwater
115	GC_203	Freshwater:Others	2	36	5.555555555555555	Freshwater
116	GC_203	Freshwater:p__Verrucomicrobiota	5	36	13.88888888888889	Freshwater
117	GC_203	Freshwater:p__Planctomycetota	1	36	2.7777777777777777	Freshwater
118	GC_203	Freshwater:p__Chloroflexota	1	36	2.7777777777777777	Freshwater
119	GC_203	Freshwater:p__Proteobacteria	1	36	2.7777777777777777	Freshwater
120	GC_203	Marine:p__Verrucomicrobiota	6	36	16.666666666666664	Marine
121	GC_203	Marine:p__Bacteroidota	10	36	27.77777777777778	Marine
122	GC_203	Terrestrial:p__Actinobacteriota	3	36	8.333333333333332	Terrestrial
123	GC_203	Terrestrial:Others	6	36	16.666666666666664	Terrestrial
124	GC_60	Freshwater:p__Proteobacteria	2	5	40.0	Freshwater
125	GC_60	Marine:p__Proteobacteria	3	5	60.0	Marine
126	GC_324	Freshwater:p__Planctomycetota	2	3	66.66666666666666	Freshwater
127	GC_324	Terrestrial:p__Actinobacteriota	1	3	33.33333333333333	Terrestrial
128	GC_257	Freshwater:p__Chloroflexota	1	2	50.0	Freshwater
129	GC_257	Marine:p__Proteobacteria	1	2	50.0	Marine
130	GC_468	Freshwater:p__Proteobacteria	1	2	50.0	Freshwater
131	GC_468	Terrestrial:p__Firmicutes	1	2	50.0	Terrestrial
