OTUcluster	Others	RiPPs	Terpene	PKS	NRPS
GC_0	0.3571428571428571	1.5714285714285714	1.2142857142857142	0.8571428571428571	1.3571428571428572
GC_1	0.16666666666666666	2.833333333333333	0.8333333333333334	0.0	0.16666666666666666
GC_10	3.875	0.5	1.0	0.0	1.0
GC_100	2.0	4.333333333333333	0.0	0.3333333333333333	2.0
GC_101	2.8625	1.4194444444444445	0.04166666666666666	0.0	0.12499999999999999
GC_102	1.125	0.0	0.0	0.0	1.0
GC_103	3.4625000000000004	0.1	1.1875	0.0	0.0
GC_104	1.0	1.25	0.0	0.0	0.0
GC_105	1.7083333333333333	0.16666666666666666	1.5833333333333333	0.16666666666666666	1.0833333333333333
GC_106	2.7222222222222223	0.0	1.0	0.7222222222222222	0.0
GC_107	3.0	0.25	0.0	1.0	0.0
GC_108	1.5555555555555556	0.0	1.3888888888888888	1.1666666666666667	0.0
GC_109	2.083333333333333	1.25	1.5	0.6666666666666666	1.25
GC_11	0.0	1.1607142857142856	0.0	1.0	0.10714285714285714
GC_110	1.2857142857142858	0.25	1.4642857142857144	0.8571428571428572	1.4285714285714284
GC_111	1.54	1.4866666666666668	0.08	0.02	0.04
GC_112	3.0	1.0	0.0	0.0	1.0
GC_113	3.8	0.9666666666666668	0.9	0.0	0.7333333333333333
GC_114	2.9250000000000003	2.9250000000000003	0.6	0.47500000000000003	0.2
GC_115	0.5428571428571429	1.3142857142857143	1.0714285714285714	1.1142857142857143	0.9285714285714286
GC_116	0.3333333333333333	1.0	1.3333333333333333	1.3333333333333333	0.0
GC_117	0.17248310923807608	2.2999727645423014	0.4852649006622517	0.11799116997792497	0.052538631346578366
GC_118	2.4999999999999996	0.0	0.0	0.9166666666666666	0.41666666666666663
GC_119	2.5943840579710145	0.07753623188405798	1.0239130434782608	0.4719202898550725	0.08695652173913043
GC_12	1.5339262187088274	0.02371541501976284	0.2272727272727273	0.9008563899868248	0.09090909090909093
GC_120	2.6666666666666665	1.0	0.0	0.3333333333333333	0.0
GC_121	1.5	2.25	0.0	0.0	1.0
GC_122	2.833333333333333	1.3333333333333333	1.3333333333333333	1.0	2.1666666666666665
GC_123	0.0	2.4444444444444446	0.1111111111111111	0.0	0.0
GC_124	1.0	1.5	1.0	0.0	0.5
GC_125	0.5227272727272728	1.3636363636363638	0.2727272727272727	2.6515151515151514	5.734848484848484
GC_126	3.142857142857143	2.571428571428571	1.0	0.35714285714285715	0.0
GC_127	0.10879629629629628	0.0946969696969697	1.1442550505050506	0.02083333333333333	1.4733796296296298
GC_128	2.374404761904762	1.0066666666666668	0.1	0.0	0.043333333333333335
GC_129	2.5	0.0	0.0	0.0	0.0
GC_13	2.0	0.6666666666666666	1.0	0.6666666666666666	2.333333333333333
GC_130	0.0	1.2	1.0	0.0	0.0
GC_131	0.018181818181818184	3.6	1.4	0.6000000000000001	1.381818181818182
GC_132	2.0	0.0	0.0	0.0	0.0
GC_133	2.0	0.0	0.0	0.0	0.25
GC_134	1.5	1.5	1.5	1.0	1.0
GC_135	3.5	2.0	2.0	3.75	3.666666666666667
GC_136	1.0	3.0	0.0	0.0	0.0
GC_137	3.0	2.0	0.0	0.0	1.5
GC_138	4.5	1.0	0.0	0.0	0.5
GC_139	3.0	1.0	0.0	1.0	0.0
GC_14	2.2083333333333335	1.7083333333333333	0.875	0.125	0.0
GC_140	1.5	1.0	0.0	1.0	0.0
GC_141	2.0	0.3333333333333333	0.0	0.0	0.0
GC_142	1.75	1.6666666666666667	0.0	1.0	3.833333333333333
GC_143	5.642857142857142	1.5	0.21428571428571427	0.8571428571428571	1.7142857142857144
GC_144	1.5	1.75	0.25	0.0	1.5
GC_145	2.5	1.2	0.0	0.0	0.0
GC_146	1.6666666666666667	0.6	1.8333333333333333	0.16666666666666666	0.16666666666666666
GC_147	2.4	0.4	0.4	1.2	1.4
GC_148	0.7058823529411765	1.411764705882353	1.6470588235294117	0.0	1.2647058823529411
GC_149	0.0	4.666666666666666	1.3333333333333333	1.3333333333333333	0.0
GC_15	1.5	1.25	0.5	0.75	3.25
GC_150	2.2777777777777777	0.6666666666666666	0.9444444444444444	0.5	2.722222222222222
GC_151	1.1	0.2	0.2	2.0	1.8
GC_152	3.5	1.0	0.3333333333333333	0.0	0.0
GC_153	3.3282312925170072	0.14285714285714285	0.015873015873015872	0.015873015873015872	0.5510204081632654
GC_154	1.556998556998557	0.0	0.0	1.5349927849927851	0.8362193362193362
GC_155	4.0	4.0	0.75	1.0	1.75
GC_156	0.3333333333333333	0.1111111111111111	1.2962962962962965	1.2962962962962963	1.5925925925925923
GC_157	1.486887254901961	1.0858455882352942	0.0018382352941176477	0.15808823529411764	1.3600490196078432
GC_158	3.0	0.5	1.0	1.0	0.0
GC_159	1.2252100840336135	0.08823529411764706	1.1352941176470588	1.1149159663865547	0.029411764705882356
GC_16	4.0	1.0	2.6666666666666665	0.0	0.0
GC_160	3.166666666666667	1.0833333333333333	0.8333333333333333	0.0	0.0
GC_161	1.5833333333333333	1.9166666666666665	1.3333333333333333	0.6666666666666666	0.16666666666666666
GC_162	1.9196428571428572	0.9553571428571428	0.25	0.0	0.0
GC_163	5.0	1.0	1.0	0.0	3.0
GC_164	1.0	0.0	0.0	0.0	0.0
GC_165	2.5	0.0	0.0	1.0	0.0
GC_166	2.5	1.5	0.0	0.0	1.0
GC_167	1.1666666666666667	0.0	0.0	1.0	0.3333333333333333
GC_168	0.6515151515151515	2.590909090909091	1.3636363636363635	0.3636363636363636	0.0303030303030303
GC_169	4.0	1.0	1.0	0.0	0.0
GC_17	1.45	0.4	0.9	1.8	0.0
GC_170	0.06548050192995832	0.02132747152668983	1.4231116902790104	0.18182685432049833	0.055197354115883314
GC_171	2.333333333333333	0.0	1.0	0.3333333333333333	0.0
GC_172	1.75	5.5	0.75	5.0	6.25
GC_173	2.5	0.3333333333333333	0.0	0.0	0.0
GC_174	0.0	0.01515151515151515	0.0	1.0	1.0909090909090908
GC_175	5.5	0.0	1.0	0.0	1.0
GC_176	0.9999999999999999	2.272727272727273	1.9090909090909087	0.36363636363636365	0.45454545454545464
GC_177	2.0	0.0	0.0	0.0	2.0
GC_178	3.125	2.0	1.0	0.75	0.0
GC_179	0.0	1.5	0.5	0.0	1.0
GC_18	2.125	0.4166666666666667	1.0416666666666667	0.0	0.125
GC_180	2.0	0.0	0.0	0.0	0.0
GC_181	2.0625	2.125	1.8125	0.875	0.875
GC_182	4.125	1.25	0.5	0.0	4.0
GC_183	1.3333333333333333	2.0	0.3333333333333333	7.666666666666666	2.333333333333333
GC_184	2.0	0.5	1.5	0.0	1.5
GC_185	3.5	3.0	1.5	0.0	3.0
GC_186	1.5	0.0	1.0	0.0	1.0
GC_187	0.0	1.5	1.0	1.0	0.0
GC_188	1.7256613756613755	1.4507936507936507	0.1111111111111111	0.031746031746031744	0.0
GC_189	2.6	2.6	0.0	0.4333333333333333	0.2
GC_19	2.828863826232247	0.7807017543859649	0.4409356725146199	0.09649122807017545	0.19131161236424393
GC_190	1.375	0.375	1.6428571428571428	0.9642857142857144	0.0
GC_191	2.0	0.0	0.0	1.0	0.0
GC_192	0.41666666666666663	3.1666666666666665	0.4166666666666667	0.0	0.8333333333333334
GC_193	1.0	0.0	1.6666666666666663	1.7083333333333337	0.0
GC_194	1.0833333333333333	0.0	0.0	0.08333333333333333	0.0
GC_195	0.0	1.0	0.0	0.0	0.0
GC_196	3.0	1.0	0.0	1.0	0.0
GC_197	1.5	1.5	1.0	0.0	0.0
GC_198	2.5	0.0	1.8333333333333333	1.75	0.0
GC_199	2.9782608695652177	0.13043478260869565	0.0	0.0	0.0
GC_2	2.5	0.5	0.5	1.0	1.0
GC_20	4.5	2.0	0.0	1.0	3.0
GC_200	0.5	2.0	1.25	2.0	3.25
GC_201	0.2222222222222222	0.0	0.0	1.7777777777777777	0.4444444444444444
GC_202	1.4	1.0	1.0	0.0	1.0
GC_203	0.29475308641975306	0.17592592592592593	2.140432098765432	1.7314814814814816	1.070216049382716
GC_204	1.7000000000000002	0.2	0.0	0.2	0.0
GC_205	3.5	1.0	2.5	1.5	0.5
GC_206	0.3968253968253968	0.0	1.1428571428571432	1.277777777777778	1.6031746031746037
GC_207	1.2307692307692304	0.0	1.1923076923076923	0.038461538461538464	0.15384615384615385
GC_208	1.2040935672514619	0.2216374269005848	1.4546783625730997	0.05263157894736842	0.0
GC_209	2.6875	1.5625	1.3125	2.09375	0.9375
GC_21	0.4	1.1	1.45	1.0	0.1
GC_210	1.9166666666666665	0.6666666666666666	1.1666666666666667	0.16666666666666666	1.0
GC_211	1.8541666666666665	3.0416666666666665	0.9791666666666666	1.0833333333333333	1.1458333333333333
GC_212	2.5	0.0	0.0	0.0	0.0
GC_213	2.0	0.0	0.0	1.0	0.0
GC_214	0.07142857142857142	2.678571428571429	0.0	0.0	0.4642857142857143
GC_215	1.0	2.5	1.0	0.0	1.5
GC_216	1.1245791245791246	0.05555555555555555	1.6285992104957618	0.05555555555555555	0.11127075351213282
GC_217	2.0	5.5	0.0	1.5	0.5
GC_218	1.0833333333333333	1.25	1.5	1.0	2.0
GC_219	0.8071428571428572	2.0375	1.5285714285714287	0.0	0.008928571428571428
GC_22	1.334368530020704	1.2763975155279508	1.3985507246376812	0.012422360248447204	0.2391304347826087
GC_220	0.5	2.25	0.0	0.0	0.0
GC_221	2.0	4.0	0.0	0.0	0.0
GC_222	2.75	2.0	2.0	0.0	1.5
GC_223	1.5	1.0	1.0	1.0	0.5
GC_224	0.8	1.35	1.8	2.15	0.05
GC_225	2.0144927536231885	0.07608695652173914	0.32608695652173914	0.043478260869565216	0.0
GC_226	4.8076923076923075	0.0	1.5274725274725276	0.4615384615384616	0.6923076923076923
GC_227	2.0	2.0	1.0	0.0	2.5
GC_228	2.0	3.0	2.0	1.0	1.0
GC_229	2.984	0.0	0.0	0.0	0.0
GC_23	1.2517857142857143	0.0625	0.125	0.25	1.0625
GC_230	0.4696969696969697	0.4545454545454546	0.2727272727272727	3.3636363636363638	3.757575757575758
GC_231	2.0	5.0	2.0	2.0	3.0
GC_232	1.1452595024023595	1.9422541743970316	0.0	0.0037105751391465673	0.9466406609263752
GC_233	0.14733178806212513	1.2544402811607864	1.824223926822241	0.23113344988344986	0.03365384615384616
GC_234	1.5	1.5	1.5	2.0	0.5
GC_235	1.5	0.0	0.0	1.0	0.25
