ID	OTUcluster
Freshwater_OTU_0002	GC_37
Freshwater_OTU_0003	GC_170
Freshwater_OTU_0005	GC_170
Freshwater_OTU_0006	GC_65
Freshwater_OTU_0007	GC_148
Freshwater_OTU_0008	GC_248
Freshwater_OTU_0010	GC_170
Freshwater_OTU_0011	GC_127
Freshwater_OTU_0013	GC_225
Freshwater_OTU_0017	GC_28
Freshwater_OTU_0018	GC_170
Freshwater_OTU_0019	GC_233
Freshwater_OTU_0020	GC_9
Freshwater_OTU_0021	GC_203
Freshwater_OTU_0022	GC_170
Freshwater_OTU_0023	GC_170
Freshwater_OTU_0024	GC_60
Freshwater_OTU_0026	GC_324
Freshwater_OTU_0027	GC_257
Freshwater_OTU_0028	GC_170
Freshwater_OTU_0030	GC_170
Freshwater_OTU_0031	GC_468
Freshwater_OTU_0032	GC_111
Freshwater_OTU_0033	GC_182
Freshwater_OTU_0034	GC_357
Freshwater_OTU_0035	GC_203
Freshwater_OTU_0036	GC_18
Freshwater_OTU_0037	GC_200
Freshwater_OTU_0038	GC_170
Freshwater_OTU_0039	GC_484
Freshwater_OTU_0040	GC_170
Freshwater_OTU_0041	GC_170
Freshwater_OTU_0042	GC_170
Freshwater_OTU_0043	GC_170
Freshwater_OTU_0044	GC_159
Freshwater_OTU_0048	GC_170
Freshwater_OTU_0049	GC_179
Freshwater_OTU_0050	GC_170
Freshwater_OTU_0051	GC_298
Freshwater_OTU_0052	GC_27
Freshwater_OTU_0053	GC_367
Freshwater_OTU_0054	GC_170
Freshwater_OTU_0055	GC_107
Freshwater_OTU_0056	GC_170
Freshwater_OTU_0057	GC_170
Freshwater_OTU_0058	GC_170
Freshwater_OTU_0059	GC_256
Freshwater_OTU_0060	GC_219
Freshwater_OTU_0063	GC_203
Freshwater_OTU_0064	GC_84
Freshwater_OTU_0066	GC_147
Freshwater_OTU_0069	GC_117
Freshwater_OTU_0101	GC_188
Freshwater_OTU_0102	GC_9
Freshwater_OTU_0103	GC_170
Freshwater_OTU_0104	GC_170
Freshwater_OTU_0105	GC_424
Freshwater_OTU_0106	GC_58
Freshwater_OTU_0107	GC_170
Freshwater_OTU_0108	GC_194
Freshwater_OTU_0109	GC_117
Freshwater_OTU_0110	GC_147
Freshwater_OTU_0112	GC_111
Freshwater_OTU_0114	GC_44
Freshwater_OTU_0115	GC_170
Freshwater_OTU_0116	GC_170
Freshwater_OTU_0118	GC_141
Freshwater_OTU_0119	GC_233
Freshwater_OTU_0120	GC_170
Freshwater_OTU_0121	GC_383
Freshwater_OTU_0122	GC_58
Freshwater_OTU_0123	GC_170
Freshwater_OTU_0124	GC_170
Freshwater_OTU_0125	GC_170
Freshwater_OTU_0126	GC_170
Freshwater_OTU_0127	GC_61
Freshwater_OTU_0128	GC_61
Freshwater_OTU_0130	GC_233
Freshwater_OTU_0131	GC_170
Freshwater_OTU_0135	GC_233
Freshwater_OTU_0136	GC_117
Freshwater_OTU_0137	GC_148
Freshwater_OTU_0138	GC_170
Freshwater_OTU_0139	GC_117
Freshwater_OTU_0140	GC_297
Freshwater_OTU_0142	GC_170
Freshwater_OTU_0143	GC_14
Freshwater_OTU_0144	GC_117
Freshwater_OTU_0145	GC_170
Freshwater_OTU_0146	GC_470
Freshwater_OTU_0147	GC_69
Freshwater_OTU_0148	GC_298
Freshwater_OTU_0149	GC_59
Freshwater_OTU_0150	GC_361
Freshwater_OTU_0151	GC_104
Freshwater_OTU_0152	GC_7
Freshwater_OTU_0153	GC_198
Freshwater_OTU_0154	GC_206
Freshwater_OTU_0155	GC_117
Freshwater_OTU_0158	GC_438
Freshwater_OTU_0159	GC_264
Freshwater_OTU_0160	GC_233
Freshwater_OTU_0161	GC_248
Freshwater_OTU_0162	GC_224
Freshwater_OTU_0170	GC_232
Freshwater_OTU_0178	GC_74
Freshwater_OTU_0193	GC_114
Freshwater_OTU_0201	GC_199
Freshwater_OTU_0202	GC_135
Freshwater_OTU_0203	GC_13
Freshwater_OTU_0204	GC_21
Freshwater_OTU_0205	GC_170
Freshwater_OTU_0206	GC_170
Freshwater_OTU_0207	GC_170
Freshwater_OTU_0208	GC_170
Freshwater_OTU_0209	GC_486
Freshwater_OTU_0210	GC_70
Freshwater_OTU_0213	GC_102
Freshwater_OTU_0214	GC_32
Freshwater_OTU_0215	GC_37
Freshwater_OTU_0217	GC_117
Freshwater_OTU_0218	GC_58
Freshwater_OTU_0219	GC_233
Freshwater_OTU_0220	GC_4
Freshwater_OTU_0225	GC_170
Freshwater_OTU_0226	GC_147
Freshwater_OTU_0227	GC_413
Freshwater_OTU_0228	GC_233
Freshwater_OTU_0229	GC_74
Freshwater_OTU_0231	GC_82
Freshwater_OTU_0232	GC_170
Freshwater_OTU_0233	GC_248
Freshwater_OTU_0234	GC_62
Freshwater_OTU_0235	GC_233
Freshwater_OTU_0236	GC_474
Freshwater_OTU_0237	GC_35
Freshwater_OTU_0238	GC_237
Freshwater_OTU_0240	GC_170
Freshwater_OTU_0241	GC_170
Freshwater_OTU_0242	GC_32
Freshwater_OTU_0244	GC_170
Freshwater_OTU_0245	GC_61
Freshwater_OTU_0246	GC_159
Freshwater_OTU_0248	GC_405
Freshwater_OTU_0249	GC_203
Freshwater_OTU_0288	GC_170
Freshwater_OTU_0301	GC_266
Freshwater_OTU_0304	GC_11
Freshwater_OTU_0305	GC_170
Freshwater_OTU_0306	GC_209
Freshwater_OTU_0307	GC_372
Freshwater_OTU_0308	GC_130
Freshwater_OTU_0309	GC_225
Freshwater_OTU_0310	GC_148
Freshwater_OTU_0311	GC_58
Freshwater_OTU_0312	GC_388
Freshwater_OTU_0315	GC_115
Freshwater_OTU_0316	GC_170
Freshwater_OTU_0318	GC_170
Freshwater_OTU_0319	GC_170
Freshwater_OTU_0320	GC_424
Freshwater_OTU_0321	GC_41
Freshwater_OTU_0322	GC_203
Freshwater_OTU_0323	GC_238
Freshwater_OTU_0324	GC_225
Freshwater_OTU_0325	GC_276
Freshwater_OTU_0326	GC_222
Freshwater_OTU_0327	GC_278
Freshwater_OTU_0328	GC_117
Freshwater_OTU_0329	GC_35
Freshwater_OTU_0330	GC_170
Freshwater_OTU_0331	GC_170
Freshwater_OTU_0332	GC_159
Freshwater_OTU_0333	GC_61
Freshwater_OTU_0334	GC_32
Freshwater_OTU_0335	GC_170
Freshwater_OTU_0336	GC_170
Freshwater_OTU_0337	GC_500
Freshwater_OTU_0338	GC_244
Freshwater_OTU_0339	GC_14
Freshwater_OTU_0340	GC_327
Freshwater_OTU_0341	GC_233
Freshwater_OTU_0342	GC_194
Freshwater_OTU_0343	GC_170
Freshwater_OTU_0344	GC_413
Freshwater_OTU_0345	GC_117
Freshwater_OTU_0346	GC_89
Freshwater_OTU_0347	GC_58
Freshwater_OTU_0348	GC_183
Freshwater_OTU_0350	GC_392
Freshwater_OTU_0351	GC_170
Freshwater_OTU_0352	GC_102
Freshwater_OTU_0353	GC_248
Freshwater_OTU_0354	GC_69
Freshwater_OTU_0355	GC_104
Freshwater_OTU_0357	GC_304
Freshwater_OTU_0359	GC_58
Freshwater_OTU_0361	GC_206
Freshwater_OTU_0365	GC_230
Freshwater_OTU_0372	GC_46
Freshwater_OTU_0388	GC_248
Freshwater_OTU_0395	GC_206
Freshwater_OTU_0402	GC_37
Freshwater_OTU_0403	GC_170
Freshwater_OTU_0404	GC_127
Freshwater_OTU_0406	GC_93
Freshwater_OTU_0408	GC_170
Freshwater_OTU_0409	GC_32
Freshwater_OTU_0410	GC_117
Freshwater_OTU_0411	GC_187
Freshwater_OTU_0412	GC_19
Freshwater_OTU_0415	GC_32
Freshwater_OTU_0416	GC_248
Freshwater_OTU_0417	GC_170
Freshwater_OTU_0418	GC_117
Freshwater_OTU_0419	GC_301
Freshwater_OTU_0421	GC_24
Freshwater_OTU_0422	GC_69
Freshwater_OTU_0423	GC_170
Freshwater_OTU_0424	GC_52
Freshwater_OTU_0425	GC_206
Freshwater_OTU_0426	GC_11
Freshwater_OTU_0427	GC_170
Freshwater_OTU_0428	GC_298
Freshwater_OTU_0429	GC_126
Freshwater_OTU_0431	GC_170
Freshwater_OTU_0432	GC_176
Freshwater_OTU_0433	GC_69
Freshwater_OTU_0434	GC_105
Freshwater_OTU_0435	GC_170
Freshwater_OTU_0436	GC_170
Freshwater_OTU_0437	GC_501
Freshwater_OTU_0438	GC_170
Freshwater_OTU_0439	GC_170
Freshwater_OTU_0440	GC_117
Freshwater_OTU_0441	GC_170
Freshwater_OTU_0443	GC_66
Freshwater_OTU_0444	GC_25
Freshwater_OTU_0445	GC_14
Freshwater_OTU_0446	GC_448
Freshwater_OTU_0447	GC_111
Freshwater_OTU_0448	GC_127
Freshwater_OTU_0449	GC_462
Freshwater_OTU_0450	GC_38
Freshwater_OTU_0451	GC_123
Freshwater_OTU_0452	GC_13
Freshwater_OTU_0453	GC_184
Freshwater_OTU_0455	GC_88
Freshwater_OTU_0457	GC_58
Freshwater_OTU_0459	GC_248
Freshwater_OTU_0460	GC_8
Freshwater_OTU_0461	GC_441
Freshwater_OTU_0474	GC_170
Freshwater_OTU_0501	GC_170
Freshwater_OTU_0502	GC_96
Freshwater_OTU_0503	GC_171
Freshwater_OTU_0504	GC_233
Freshwater_OTU_0505	GC_170
Freshwater_OTU_0506	GC_224
Freshwater_OTU_0507	GC_156
