Group	Family	Propionicin	Sactipeptide	Glycocin	Lassopeptide	Lanthipeptide	Linaridin	Marinostatin	LAP	Head-to-tail	Bacteriocin_III	Proteusin	Cyanobactin	Piscicolin	Thiopeptide	Microcin	Methanobactin	ComX	Pesticin	Pediocin	Prochlorosin	Bacteriocin_II	Autoinducing_peptide	Sakacin	Microviridin
Freshwater	f__	0	0	1	1	2	0	0	4	0	10	5	5	0	1	0	0	0	0	0	0	0	0	0	0
Freshwater	f__70-9	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Freshwater	f__A4b	0	0	0	0	0	0	0	2	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
Freshwater	f__Acetivibrionaceae	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Freshwater	f__Acetobacteraceae	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Freshwater	f__Alicyclobacillaceae	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Freshwater	f__Alteromonadaceae	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Freshwater	f__Aminobacteriaceae	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Freshwater	f__Azospirillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0
Freshwater	f__BBW3	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Freshwater	f__Baltobacteraceae	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Freshwater	f__Beijerinckiaceae	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Freshwater	f__Bog-793	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Freshwater	f__Bryobacteraceae	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
