ID	Marine	Freshwater	Terrestrialr
Bacteria|4484-113|4484-113|4484-113|4484-113	1	1	1
Bacteria|4484-113|4484-113|4484-113|JAFGCY01	1	1	1
Bacteria|4572-55|4572-55|4572-55|4572-55	1	1	1
Bacteria|4572-55|4572-55|J002|J002	1	1	1
Bacteria|AABM5-125-24|AABM5-125-24|AABM5-125-24|AABM5-125-24	1	1	1
Bacteria|AABM5-125-24|B3-LCP|B3-LCP|B3-LCP	1	1	1
Bacteria|AABM5-125-24|BMS3BBIN04|BMS3BBIN04|BMS3BBIN04	1	1	1
Bacteria|AABM5-125-24|JABMRZ01|JABMRZ01|JABMRZ01	1	1	1
Bacteria|AABM5-125-24|JABMRZ01|JABMRZ01|JADHWD01	1	1	1
Bacteria|AABM5-125-24|RPQS01|RPQS01|RPQS01	1	1	1
Bacteria|Abyssubacteria|SURF-5|SURF-5|SURF-5	1	1	1
Bacteria|Acidobacteriota|Acidobacteriae|20CM-2-55-15|20CM-2-55-15	1	1	1
Bacteria|Acidobacteriota|Acidobacteriae|2-12-FULL-54-10|2-12-FULL-54-10	1	1	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Acidobacteriaceae	1	1	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|CAINCZ01	1	1	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|DSPA01	1	1	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Gp1-AA112	1	1	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Gp1-AA117	1	1	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|JACPNR01	1	1	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Koribacteraceae	1	1	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|QIAW01	1	1	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|SbA1	1	1	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|SCQP01	1	1	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidoferrales|2-02-FULL-67-57	1	1	1
Bacteria|Acidobacteriota|Acidobacteriae|Acidoferrales|UBA7541	1	1	1
Bacteria|Acidobacteriota|Acidobacteriae|Bryobacterales|Bryobacteraceae	1	1	1
Bacteria|Acidobacteriota|Acidobacteriae|Bryobacterales|JACQDG01	1	1	1
Bacteria|Acidobacteriota|Acidobacteriae|Bryobacterales|UBA6623	1	1	1
Bacteria|Acidobacteriota|Acidobacteriae|UBA7540|UBA7540	1	1	1
Bacteria|Acidobacteriota|Acidobacteriae|VXMN01|VXMN01	1	1	1
Bacteria|Acidobacteriota|Aminicenantia|Aminicenantales|Aminicenantaceae	1	1	1
Bacteria|Acidobacteriota|Aminicenantia|Aminicenantales|Aminicenantaceae_A	1	1	1
Bacteria|Acidobacteriota|Aminicenantia|Aminicenantales|DTGS01	1	1	1
Bacteria|Acidobacteriota|Aminicenantia|Aminicenantales|JAFGBC01	1	1	1
Bacteria|Acidobacteriota|Aminicenantia|Aminicenantales|RBG-16-66-30	1	1	1
Bacteria|Acidobacteriota|Aminicenantia|Aminicenantales|Saccharicenantaceae	1	1	1
Bacteria|Acidobacteriota|Aminicenantia|Aminicenantales|UBA4085	1	1	1
Bacteria|Acidobacteriota|Aminicenantia|Aminicenantales|UBA8522	1	1	1
Bacteria|Acidobacteriota|Aminicenantia|DTKB01|DTKB01	1	1	1
Bacteria|Acidobacteriota|Aminicenantia|JdFR-78|JdFR-78	1	1	1
Bacteria|Acidobacteriota|Aminicenantia|S016-38|S016-38	1	1	1
Bacteria|Acidobacteriota|Aminicenantia|UBA2199|UBA2199	1	1	1
Bacteria|Acidobacteriota|B3-B38|B3-B38|B3-B38	1	1	1
Bacteria|Acidobacteriota|B3-B38|JAFGBY01|JAFGBY01	1	1	1
Bacteria|Acidobacteriota|Blastocatellia|Chloracidobacteriales|Chloracidobacteriaceae	1	1	1
Bacteria|Acidobacteriota|Blastocatellia|Chloracidobacteriales|JADJPF01	1	1	1
Bacteria|Acidobacteriota|Blastocatellia|DSOJ01|DSOJ01	1	1	1
Bacteria|Acidobacteriota|Blastocatellia|HR10|HR10	1	1	1
Bacteria|Acidobacteriota|Blastocatellia|HR10|JACQTD01	1	1	1
Bacteria|Acidobacteriota|Blastocatellia|Pyrinomonadales|Pyrinomonadaceae	1	1	1
Bacteria|Acidobacteriota|Blastocatellia|RBC074|RBC074	1	1	1
Bacteria|Acidobacteriota|Blastocatellia|UBA7656|JADIYM01	1	1	1
Bacteria|Acidobacteriota|Blastocatellia|UBA7656|UBA7656	1	1	1
Bacteria|Acidobacteriota|CAIWXX01|CAIWXX01|CAIWXX01	1	1	1
Bacteria|Acidobacteriota|Holophagae|Acanthopleuribacterales|Acanthopleuribacteraceae	1	1	1
Bacteria|Acidobacteriota|Holophagae|Holophagales|Holophagaceae	1	1	1
Bacteria|Acidobacteriota|Holophagae|Thermotomaculales|Thermotomaculaceae	1	1	1
Bacteria|Acidobacteriota|HRBIN11|HRBIN11|HRBIN11	1	1	1
Bacteria|Acidobacteriota|Mor1|Gp22-AA2|AA152	1	1	1
Bacteria|Acidobacteriota|Mor1|Gp22-AA2|Gp22-AA2	1	1	1
Bacteria|Acidobacteriota|Mor1|J045|J045	1	1	1
Bacteria|Acidobacteriota|Mor1|JACPZX01|JACPZX01	1	1	1
Bacteria|Acidobacteriota|Mor1|Mor1|Mor1	1	1	1
Bacteria|Acidobacteriota|Mor1|QHYA01|QHYA01	1	1	1
Bacteria|Acidobacteriota|Mor1|SMYD01|SMYD01	1	1	1
Bacteria|Acidobacteriota|Thermoanaerobaculia|Gp7-AA8|Gp7-AA8	1	1	1
Bacteria|Acidobacteriota|Thermoanaerobaculia|Thermoanaerobaculales|FEB-10	1	1	1
Bacteria|Acidobacteriota|Thermoanaerobaculia|Thermoanaerobaculales|Thermoanaerobaculaceae	1	1	1
Bacteria|Acidobacteriota|Thermoanaerobaculia|UBA2201|UBA2201	1	1	1
Bacteria|Acidobacteriota|Thermoanaerobaculia|UBA5066|Gp7-AA6	1	1	1
Bacteria|Acidobacteriota|Thermoanaerobaculia|UBA5066|UBA5066	1	1	1
Bacteria|Acidobacteriota|Thermoanaerobaculia|UBA5704|QQVD01	1	1	1
Bacteria|Acidobacteriota|Thermoanaerobaculia|UBA5704|UBA5704	1	1	1
Bacteria|Acidobacteriota|UBA4820|UBA4820|DSQY01	1	1	1
Bacteria|Acidobacteriota|UBA4820|UBA4820|UBA4820	1	1	1
Bacteria|Acidobacteriota|UBA6911|CAINFC01|CAINFC01	1	1	1
Bacteria|Acidobacteriota|UBA6911|JAAYUB01|JAAYUB01	1	1	1
Bacteria|Acidobacteriota|UBA6911|JACOSC01|JACOSC01	1	1	1
Bacteria|Acidobacteriota|UBA6911|JACQTF01|JACQTF01	1	1	1
Bacteria|Acidobacteriota|UBA6911|RPQK01|JACQSX01	1	1	1
Bacteria|Acidobacteriota|UBA6911|RPQK01|RPQK01	1	1	1
Bacteria|Acidobacteriota|UBA6911|UBA6911|UBA6911	1	1	1
Bacteria|Acidobacteriota|UBA890|UBA890|UBA890	1	1	1
Bacteria|Acidobacteriota|UBA890|UBA890|WLXD01	1	1	1
Bacteria|Acidobacteriota|Vicinamibacteria|Bin61|Bin61	1	1	1
Bacteria|Acidobacteriota|Vicinamibacteria|Bin61|SMYC01	1	1	1
Bacteria|Acidobacteriota|Vicinamibacteria|Fen-336|Fen-336	1	1	1
Bacteria|Acidobacteriota|Vicinamibacteria|Fen-336|JAGNNV01	1	1	1
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|2-12-FULL-66-21	1	1	1
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|Fen-181	1	1	1
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|JACPPN01	1	1	1
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|JACQTH01	1	1	1
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|JAFNAJ01	1	1	1
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|SCN-69-37	1	1	1
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|UBA2999	1	1	1
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|UBA823	1	1	1
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|UBA8438	1	1	1
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales|Vicinamibacteraceae	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|AC-14	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|AC-25	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|AC-35	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|Acidimicrobiaceae	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|Bin134	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|Bog-793	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|CADCSY01	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|CADCTF01	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|CAIXPF01	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|GCA-2861595	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|Ilumatobacteraceae	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|JAAYBP01	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|JABEUL01	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|JACDCH01	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|JACDEA01	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|JADJXE01	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|JAEUJM01	1	1	1
Bacteria|Actinobacteriota|Acidimicrobiia|Acidimicrobiales|JAFATL01	1	1	1
