Level	Others	RiPPs	NRPS	PKS	Terpene
f__20CM-2-55-15	0	0	0	0	0
f__2-12-FULL-54-10	0	0	0	0	0
f__Acidobacteriaceae	5	13	21	26	28
f__CAINCZ01	0	0	0	0	0
f__DSPA01	0	0	0	0	0
f__Gp1-AA112	0	3	2	1	4
f__Gp1-AA117	0	0	2	0	2
f__JACPNR01	0	0	0	0	0
f__Koribacteraceae	11	17	36	13	14
f__QIAW01	0	0	0	0	0
f__SbA1	0	0	0	0	0
f__SCQP01	0	0	0	0	0
f__2-02-FULL-67-57	0	0	0	0	0
f__UBA7541	6	19	25	13	15
f__Bryobacteraceae	4	11	12	4	26
f__JACQDG01	0	0	0	0	0
f__UBA6623	5	6	7	3	5
f__UBA7540	4	9	20	10	15
f__VXMN01	0	0	0	0	0
f__Aminicenantaceae	0	1	0	0	0
f__Aminicenantaceae_A	0	0	0	0	0
f__DTGS01	0	0	0	0	0
f__JAFGBC01	0	0	0	0	0
f__RBG-16-66-30	0	0	0	6	0
f__Saccharicenantaceae	0	0	0	0	0
f__UBA4085	0	0	0	0	1
f__UBA8522	0	0	0	0	0
f__DTKB01	0	0	0	0	0
f__JdFR-78	0	0	0	0	0
f__S016-38	0	0	0	0	0
f__UBA2199	0	1	0	0	1
f__B3-B38	0	0	0	0	0
f__JAFGBY01	0	0	0	0	0
f__Chloracidobacteriaceae	0	0	0	0	0
f__JADJPF01	0	0	0	0	0
f__DSOJ01	0	0	0	0	0
f__HR10	2	0	0	1	0
f__JACQTD01	0	0	0	0	0
f__Pyrinomonadaceae	3	35	113	26	5
f__RBC074	0	0	0	0	0
f__JADIYM01	0	0	0	0	0
f__UBA7656	0	0	1	0	2
f__CAIWXX01	0	0	0	0	0
f__Acanthopleuribacteraceae	0	0	0	0	0
f__Holophagaceae	7	30	20	2	0
f__Thermotomaculaceae	0	0	0	0	0
f__HRBIN11	0	0	0	0	0
f__AA152	0	0	0	0	0
f__Gp22-AA2	0	0	0	0	0
f__J045	0	0	0	0	0
f__JACPZX01	0	0	0	0	0
f__Mor1	0	0	0	0	0
f__QHYA01	0	0	0	0	0
f__SMYD01	0	0	0	0	0
f__Gp7-AA8	2	28	5	12	7
f__FEB-10	0	0	0	1	1
f__Thermoanaerobaculaceae	0	0	0	0	0
f__UBA2201	0	0	0	0	0
f__Gp7-AA6	1	0	0	0	1
f__UBA5066	5	1	0	1	3
f__QQVD01	0	0	0	0	0
f__UBA5704	14	35	144	67	12
f__DSQY01	0	0	0	0	0
f__UBA4820	0	0	0	0	0
f__CAINFC01	0	0	0	0	0
f__JAAYUB01	0	0	0	0	0
f__JACOSC01	0	0	0	0	0
f__JACQTF01	0	0	0	0	0
f__JACQSX01	0	0	0	0	0
f__RPQK01	0	0	0	0	0
f__UBA6911	0	0	0	0	0
f__UBA890	0	0	0	3	0
f__WLXD01	0	0	0	0	0
f__Bin61	0	0	0	0	0
f__SMYC01	0	0	0	0	0
f__Fen-336	0	0	0	0	0
f__JAGNNV01	0	0	0	0	0
f__2-12-FULL-66-21	0	0	0	0	0
f__Fen-181	0	0	0	0	0
f__JACPPN01	0	0	0	0	0
f__JACQTH01	0	0	0	0	0
f__JAFNAJ01	0	0	0	0	0
f__SCN-69-37	0	0	1	1	1
f__UBA2999	4	0	4	10	4
f__UBA823	0	0	6	0	11
f__UBA8438	1	3	25	10	15
f__Vicinamibacteraceae	0	0	0	0	0
f__AC-14	0	2	1	0	2
f__AC-25	0	0	0	0	0
f__AC-35	0	0	0	0	0
f__Acidimicrobiaceae	0	0	0	0	0
f__Bin134	0	0	0	0	0
f__Bog-793	0	2	1	1	3
f__CADCSY01	0	0	0	0	0
f__CADCTF01	0	0	0	0	0
f__CAIXPF01	0	0	0	0	0
f__GCA-2861595	0	0	0	0	0
f__Ilumatobacteraceae	28	9	6	10	60
f__JAAYBP01	0	0	0	0	0
f__JABEUL01	0	0	0	0	0
f__JACDCH01	1	0	1	0	1
f__JACDEA01	0	0	0	0	0
f__JADJXE01	0	0	0	0	0
f__JAEUJM01	0	0	0	0	0
f__JAFATL01	0	0	0	0	0
f__MedAcidi-G1	4	8	1	0	0
f__Microtrichaceae	9	0	2	0	6
f__Palsa-688	3	1	0	0	3
f__QHCF01	1	0	0	0	2
f__RAAP-2	22	8	16	1	7
f__SHLQ01	0	0	0	0	0
f__SIRW01	0	0	0	0	0
f__SKKL01	0	0	0	0	0
f__SZUA-35	0	0	0	0	0
f__TK06	86	0	0	0	0
f__UBA10347	0	0	0	0	0
f__UBA11606	7	0	3	3	2
f__UBA8139	5	3	3	2	10
f__UBA8190	4	2	1	1	0
f__UBA8592	0	0	0	0	54
f__WLNW01	0	0	0	0	0
f__Actinomarinaceae	12	0	0	0	0
f__ATN3	0	0	0	0	0
f__Chersky-534	0	0	0	0	0
f__IMCC26256	5	0	0	1	1
f__JACPCJ01	0	0	0	0	0
f__JAGNEX01	0	0	0	0	0
f__JAGPDB01	0	0	0	0	0
f__PALSA-555	0	0	0	0	1
f__PALSA-610	0	0	0	0	0
f__VFJJ01	0	0	0	0	0
f__UBA2766	2	0	0	0	1
f__Bin76	0	0	0	0	0
f__JAENVV01	0	0	0	0	0
f__S012-128	0	0	0	0	0
f__SHLN01	0	0	0	0	0
f__SZUA-232	0	0	0	0	0
f__UBA11373	0	0	0	0	0
f__UBA4744	0	0	0	0	0
f__UBA5794	0	1	0	0	0
f__ZC4RG35	1	0	0	0	0
f__Acidothermaceae	0	0	0	0	0
f__Actinomycetaceae	0	2	0	0	1
f__Angustibacteraceae	0	0	0	0	0
f__Beutenbergiaceae	0	0	0	0	0
f__Bifidobacteriaceae	0	0	0	0	0
f__Brevibacteriaceae	0	0	1	0	1
f__Cellulomonadaceae	11	11	7	13	15
f__Demequinaceae	2	0	0	0	3
f__Dermabacteraceae	2	1	1	0	2
f__Dermatophilaceae	14	3	20	10	18
f__GCA-002748415	0	0	0	0	0
f__Kineococcaceae	0	0	0	0	0
f__Kineosporiaceae	0	0	0	0	0
f__Microbacteriaceae	48	5	8	40	50
f__Micrococcaceae	29	3	11	10	11
f__Quadrisphaeraceae	0	0	0	0	0
f__Egibacteraceae	1	0	0	1	1
f__Euzebyaceae	1	0	1	0	2
f__JACCUZ01	0	0	0	0	0
f__JACCYY01	0	0	0	0	0
f__Jiangellaceae	0	0	0	0	0
f__Motilibacteraceae	0	0	0	0	0
f__Antricoccaceae	0	0	0	0	0
f__CADCTP01	0	0	0	0	0
f__CAJCIY01	0	0	0	0	0
f__Cryptosporangiaceae	0	0	0	0	0
f__Frankiaceae	0	0	0	0	0
f__Geodermatophilaceae	0	0	0	0	0
f__HKI-0501	0	0	0	0	0
f__JADGOU01	0	0	0	0	0
f__JADGOV01	0	0	0	0	0
f__JAFAQI01	0	0	0	0	0
f__Jatrophihabitantaceae	0	0	0	0	0
f__Micromonosporaceae	0	0	0	0	0
f__Mycobacteriaceae	56	31	199	83	50
f__Nakamurellaceae	0	1	1	1	0
f__Pseudonocardiaceae	0	0	0	0	0
f__QHCA01	0	0	0	0	0
f__QHCD01	0	0	0	0	0
f__QHCE01	0	0	0	0	0
f__SCTD01	8	0	5	10	6
f__AcAMD-5	0	0	0	0	1
f__CAIKAW01	0	0	0	0	0
f__CAIYMF01	0	0	0	0	0
f__FW305-bin1	0	0	0	0	0
f__GCA-2699445	0	0	0	0	0
f__Nanopelagicaceae	0	0	0	3	19
f__S36-B12	3	19	0	4	14
f__UBA10799	0	2	0	1	2
f__UBA12327	0	0	0	0	1
f__UBA5976	2	0	0	0	2
f__Nitriliruptoraceae	0	0	0	0	0
f__Actinopolymorphaceae	0	0	0	0	0
f__Kribbellaceae	0	0	0	0	0
f__Nocardioidaceae	13	1	16	1	3
f__Propionibacteriaceae	0	5	3	3	6
f__Sporichthyaceae	0	0	0	0	0
f__Carbonactinosporaceae	0	0	0	0	0
f__Catenulisporaceae	0	0	0	0	0
f__Streptomycetaceae	0	0	0	0	0
f__Streptosporangiaceae	8	6	14	8	10
f__WHST01	0	0	0	0	0
f__Aquicultoraceae	0	0	0	0	0
f__Geothermocultoraceae	0	0	0	0	0
f__Subteraquimicrobiaceae	0	0	0	0	0
f__UBA9087	0	0	0	0	0
f__SURF-47	0	0	0	0	0
