id	Freshwater	Marine	Terrestrial
f__20CM-2-55-15	0	0	0
f__2-12-FULL-54-10	0	0	0
f__Acidobacteriaceae	1.5	1.0	1.7142857142857142
f__CAINCZ01	0	0	0
f__DSPA01	0	0	0
f__Gp1-AA112	0	0	2.0
f__Gp1-AA117	0	0	2.0
f__JACPNR01	0	0	0
f__Koribacteraceae	1.2	0	1.1428571428571428
f__QIAW01	0	0	0
f__SbA1	0	0	0
f__SCQP01	0	0	0
f__2-02-FULL-67-57	0	0	0
f__UBA7541	1.0	0	1.0769230769230769
f__Bryobacteraceae	3.25	0	1.625
f__JACQDG01	0	0	0
f__UBA6623	0	1.6666666666666667	0
f__UBA7540	1.0	0	2.0
f__VXMN01	0	0	0
f__Aminicenantaceae	0	0.0	0
f__Aminicenantaceae_A	0	0	0
f__DTGS01	0	0	0
f__JAFGBC01	0	0	0
f__RBG-16-66-30	0.0	0	0
f__Saccharicenantaceae	0	0	0
f__UBA4085	1.0	0	0
f__UBA8522	0	0	0
f__DTKB01	0	0	0
f__JdFR-78	0	0	0
f__S016-38	0	0	0
f__UBA2199	1.0	0	0
f__B3-B38	0	0	0
f__JAFGBY01	0	0	0
f__Chloracidobacteriaceae	0	0	0
f__JADJPF01	0	0	0
f__DSOJ01	0	0	0
f__HR10	0	0.0	0
f__JACQTD01	0	0	0
f__Pyrinomonadaceae	0.5	0	0.2222222222222222
f__RBC074	0	0	0
f__JADIYM01	0	0	0
f__UBA7656	0	0	2.0
f__CAIWXX01	0	0	0
f__Acanthopleuribacteraceae	0	0	0
f__Holophagaceae	0.0	0	0.0
f__Thermotomaculaceae	0	0	0
f__HRBIN11	0	0	0
f__AA152	0	0	0
f__Gp22-AA2	0	0	0
f__J045	0	0	0
f__JACPZX01	0	0	0
f__Mor1	0	0	0
f__QHYA01	0	0	0
f__SMYD01	0	0	0
f__Gp7-AA8	0	0	1.0
f__FEB-10	0.0	1.0	0
f__Thermoanaerobaculaceae	0	0	0
f__UBA2201	0	0	0
f__Gp7-AA6	0	0	1.0
f__UBA5066	0	0	1.0
f__QQVD01	0	0	0
f__UBA5704	0	2.0	1.6666666666666667
f__DSQY01	0	0	0
f__UBA4820	0	0	0
f__CAINFC01	0	0	0
f__JAAYUB01	0	0	0
f__JACOSC01	0	0	0
f__JACQTF01	0	0	0
f__JACQSX01	0	0	0
f__RPQK01	0	0	0
f__UBA6911	0	0	0
f__UBA890	0	0.0	0
f__WLXD01	0	0	0
f__Bin61	0	0	0
f__SMYC01	0	0	0
f__Fen-336	0	0	0
f__JAGNNV01	0	0	0
f__2-12-FULL-66-21	0	0	0
f__Fen-181	0	0	0
f__JACPPN01	0	0	0
f__JACQTH01	0	0	0
f__JAFNAJ01	0	0	0
f__SCN-69-37	1.0	0	0
f__UBA2999	1.0	0	0
f__UBA823	0	0.7333333333333333	0
f__UBA8438	0	1.0714285714285714	0
f__Vicinamibacteraceae	0	0	0
f__AC-14	0	0	2.0
f__AC-25	0	0	0
f__AC-35	0	0	0
f__Acidimicrobiaceae	0	0	0
f__Bin134	0	0	0
f__Bog-793	1.0	0	0.0
f__CADCSY01	0	0	0
f__CADCTF01	0	0	0
f__CAIXPF01	0	0	0
f__GCA-2861595	0	0	0
f__Ilumatobacteraceae	1.5	1.681818181818182	2.0
f__JAAYBP01	0	0	0
f__JABEUL01	0	0	0
f__JACDCH01	0	0	1.0
f__JACDEA01	0	0	0
f__JADJXE01	0	0	0
f__JAEUJM01	0	0	0
f__JAFATL01	0	0	0
f__MedAcidi-G1	0	0.0	0
f__Microtrichaceae	1.0	0	0
f__Palsa-688	0	0	1.0
f__QHCF01	0	0	2.0
f__RAAP-2	0.0	0	0.3684210526315789
f__SHLQ01	0	0	0
f__SIRW01	0	0	0
f__SKKL01	0	0	0
f__SZUA-35	0	0	0
f__TK06	0	0.0	0
f__UBA10347	0	0	0
f__UBA11606	0	0.2857142857142857	0
f__UBA8139	1.3333333333333333	2.0	0
f__UBA8190	0	0	0.0
f__UBA8592	0	1.0	0
f__WLNW01	0	0	0
f__Actinomarinaceae	0	0.0	0
f__ATN3	0	0	0
f__Chersky-534	0	0	0
f__IMCC26256	0	0	1.0
f__JACPCJ01	0	0	0
f__JAGNEX01	0	0	0
f__JAGPDB01	0	0	0
f__PALSA-555	1.0	0	0
f__PALSA-610	0	0	0
f__VFJJ01	0	0	0
f__UBA2766	0	1.0	0
f__Bin76	0	0	0
f__JAENVV01	0	0	0
f__S012-128	0	0	0
f__SHLN01	0	0	0
f__SZUA-232	0	0	0
f__UBA11373	0	0	0
f__UBA4744	0	0	0
f__UBA5794	0.0	0	0
f__ZC4RG35	0.0	0	0
f__Acidothermaceae	0	0	0
f__Actinomycetaceae	0	0	0.5
f__Angustibacteraceae	0	0	0
f__Beutenbergiaceae	0	0	0
f__Bifidobacteriaceae	0	0	0
f__Brevibacteriaceae	0	0	1.0
f__Cellulomonadaceae	0	0	1.0
f__Demequinaceae	0	0	1.0
f__Dermabacteraceae	0	1.0	1.0
f__Dermatophilaceae	0	1.0	1.1428571428571428
f__GCA-002748415	0	0	0
f__Kineococcaceae	0	0	0
f__Kineosporiaceae	0	0	0
f__Microbacteriaceae	1.25	0.9189189189189191	1.0
f__Micrococcaceae	0	1.0	0.7692307692307693
f__Quadrisphaeraceae	0	0	0
f__Egibacteraceae	0	0	1.0
f__Euzebyaceae	0	2.0	0
f__JACCUZ01	0	0	0
f__JACCYY01	0	0	0
f__Jiangellaceae	0	0	0
f__Motilibacteraceae	0	0	0
f__Antricoccaceae	0	0	0
f__CADCTP01	0	0	0
f__CAJCIY01	0	0	0
f__Cryptosporangiaceae	0	0	0
f__Frankiaceae	0	0	0
f__Geodermatophilaceae	0	0	0
f__HKI-0501	0	0	0
f__JADGOU01	0	0	0
f__JADGOV01	0	0	0
f__JAFAQI01	0	0	0
f__Jatrophihabitantaceae	0	0	0
f__Micromonosporaceae	0	0	0
f__Mycobacteriaceae	2.0	1.2857142857142858	1.5789473684210529
f__Nakamurellaceae	0	0	0.0
f__Pseudonocardiaceae	0	0	0
f__QHCA01	0	0	0
f__QHCD01	0	0	0
f__QHCE01	0	0	0
f__SCTD01	0	0	0.8571428571428571
f__AcAMD-5	1.0	0	0
f__CAIKAW01	0	0	0
f__CAIYMF01	0	0	0
f__FW305-bin1	0	0	0
f__GCA-2699445	0	0	0
f__Nanopelagicaceae	1.0	1.0	1.0
f__S36-B12	1.0	1.0	0
f__UBA10799	1.0	1.0	0
f__UBA12327	1.0	0	0
f__UBA5976	0	0	1.0
f__Nitriliruptoraceae	0	0	0
f__Actinopolymorphaceae	0	0	0
f__Kribbellaceae	0	0	0
f__Nocardioidaceae	0	0.375	0.0
f__Propionibacteriaceae	0.0	0	1.0
f__Sporichthyaceae	0	0	0
f__Carbonactinosporaceae	0	0	0
f__Catenulisporaceae	0	0	0
f__Streptomycetaceae	0	0	0
f__Streptosporangiaceae	2.0	0	1.6
f__WHST01	0	0	0
f__Aquicultoraceae	0	0	0
f__Geothermocultoraceae	0	0	0
f__Subteraquimicrobiaceae	0	0	0
f__UBA9087	0	0	0
f__SURF-47	0	0	0
f__JACQXZ01	0	0	0
f__Oleimmundimicrobiaceae	0	0	0
f__Atopobiaceae	0	0	0.0
f__CADBOM01	0	0	0
f__Coriobacteriaceae	0	0	0
f__Eggerthellaceae	0	0	0
f__QAMH01	0	0	0
f__RUG033	0	0	0
f__RUG844	0	0	0
f__UBA8131	0	0	0
f__UMGS124	0	0	0
f__D1FN1-002	0	0	0
f__JAAXUF01	0	0	0
f__JACRBU01	0	0	0
f__JAENZW01	0	0	0
f__Kmv31	0	0	0
f__PALSA-660	0	0	0
f__PHET01	0	0	0
f__SLCP01	0	0	0
f__UBA2279	0	0	0
f__UBA3086	0	0	0
f__UBA912	0	0	0
f__JAENWW01	0	0	0
f__WQUG01	0	0	0
f__WRKU01	0	0	0
f__Anoxymicrobiaceae	0	0	0
f__JACVIW01	0	0	0
f__Geothermincolaceae	0	0	0
f__RBG-13-55-18	0	0	0.0
f__Hakubanellaceae	0	0	0
f__Humimicrobiaceae	0	0	0
f__JAHJRV01	0	0	0
f__Rubrobacteraceae	2.0	2.0	0
f__BMS3ABIN01	0	0	0
f__F1-60-MAGs149	1.0	0	0
f__Gaiellaceae	0.6666666666666666	0	0.75
f__SKUG01	0	0	0
f__Miltoncostaeaceae	0	0	0
f__RBG-16-64-13	1.0	0	0
f__70-9	1.0	0	0.05882352941176471
f__JACPNS01	0	0	0
f__Solirubrobacteraceae	1.0	0	0.8181818181818182
f__Thermoleophilaceae	1.0	0	0.0
f__UBA2241	0	0	0
f__AC-67	0	0	0
f__CADDZG01	0	0	0
f__WHSQ01	0	0	0
f__HRBIN12	0	0	0
f__JACQTL01	0	0	0
f__UBA4738	0	0	1.0
f__0-14-0-80-59-12	0	0	0
f__2-12-FULL-37-12	0	0	0
f__2-12-FULL-35-15	0	0	0
f__2013-40CM-41-45	0	0	0
f__JABDAW01	0	0	0
f__OLB10	0	0	0.5
f__B-17BO	0.8888888888888888	0	0.6666666666666666
f__JABDFU01	0	0	0
f__JACCXN01	0	0	0
f__JACMRI01	0	0	0
f__JACPRZ01	0	0	0
f__JAFLBG01	0	0	0
f__Palsa-948	0	0	0.0
f__Palsa-948_A	0	0	0
f__Palsa-965	0	0	0
f__SXHM01	0	0	0
f__UBA4408	0	0	0
f__4484-276	0	0	0
f__4572-128	0	0	0
f__Azobacteroidaceae	0	0	0
f__B18-G4	0	0	0
f__B39-G9	0	0	0
f__Bacteroidaceae	0	0	0.2
f__Barnesiellaceae	0	0	0
f__BM520	0	0	0
f__BM523	0	0	0
f__CAIWKO01	0	0	0
f__CAIXTV01	0	0	0
f__CAIXZF01	1.0	0	0
f__CAJPTX01	0	0	0
f__Cfx3-03	0	0	0
f__CG2-30-32-10	0	0	0
f__CHK158-818	0	0	0
f__Coprobacteraceae	0	0	0
f__DSWJ01	0	0	0
f__DTGW01	0	0	0
f__DTU049	0	0	0
f__Dysgonomonadaceae	0	0	0.5
f__F082	1.0	0.0	1.0
f__FEN-979	0.0	0	0
f__G3-4614	0	0	0
f__GCA-2711565	0	0	0
f__GCA-2748055	0	0	1.0
f__GWA2-32-17	0	0	0
f__GWE2-29-8	0	0	0
f__GWF2-33-38	0	0	0
f__GWF2-35-48	0	0	0
f__GWF2-38-335	0	0	0
f__JAADGE01	0	0	0
f__JAADJA01	0	0	0
f__JAAUTT01	0	0	0
f__JAAYJT01	0	0	0
f__JAAYUG01	0	0	0
f__JABHKC01	0	0	0
f__JACABE01	0	0	0
f__JAFGXI01	0	0	0
f__JAGNHN01	0	0	0
f__JAGODS01	0	0	0
f__JAGOPY01	0	0	0
f__JAHJDW01	0	0	0
f__Lentimicrobiaceae	1.0	0	0
f__M50B96	0	0	0
f__Marinifilaceae	0	1.0	0
f__Marinilabiliaceae	0	0	0
f__ML635J-15	0	0	0
f__Muribaculaceae	0	0	0
f__NBLH01	0	0	0
f__P3	0	0	0
f__Paludibacteraceae	1.0	0	0.2727272727272727
f__Porphyromonadaceae	0	0	0
f__Prolixibacteraceae	0.0	2.0	2.2
f__PUMT01	0	0	0
f__PWNQ01	0	0	0
f__PXBB01	0	0	0
f__Rikenellaceae	0	0	0
f__S143-32	0	0	0
f__S143-33	0	0	0
f__Salinivirgaceae	0	0	0
f__SM23-62	0	0	0
f__SZUA-534	0.0	0	0
f__Tannerellaceae	0	0	1.0
f__Tenuifilaceae	0	0	0
f__TTA-H9	1.0	0	0
f__UBA10428	0	0	0
f__UBA11471	0	0	0
f__UBA12077	0	0.6666666666666666	0.0
f__UBA12170	0	0	0
f__UBA12481	1.0	0.0	0
f__UBA1402	2.0	0	0
f__UBA1556	0	0	0
f__UBA1715	0	0	0
f__UBA3663	0	0	0
f__UBA3824	0	0	0
f__UBA4181	0	0	0
f__UBA4417	0	0	0
f__UBA5342	0	0	0
f__UBA6013	0	0	0
f__UBA6680	0	0	0
f__UBA7332	1.0	0	0
f__UBA7960	0	0	0
f__UBA932	1.0	0	0.0
f__VadinHA17	2.0	0.6666666666666666	0.75
f__W3P20-009	0	0	0
f__WCHB1-69	0	0	0
f__Williamwhitmaniaceae	0	0	0
f__WRGA01	0	0	0
f__WRLA01	0	0	0
f__ZOR0009	0	0	0
f__CAILMK01	2.0	0	0
f__JAAYUY01	1.0	0	0
f__JACPUW01	0	0	0
f__BACL12	1.0	0	0
f__CAIODY01	0	0	0
f__CAIOSU01	1.0	0	0
f__Chitinophagaceae	1.4565217391304348	1.0	0.9787234042553192
f__JABDMM01	0	0	0
f__JADIYW01	0	0	0
f__JADJOU01	0	0	0
f__LD1	0	0	0.5
f__REEL01	0	0	0
f__S012-47	0	0	0
f__Saprospiraceae	1.3888888888888888	1.6521739130434785	2.0
f__SW-11-45-7	0	0	0
f__UBA10324	0	0	0
f__UBA2359	0	0	0
f__UBA8649	0	1.0	0
f__172606-1	0	0	2.0
f__Amoebophilaceae	0	0	0
f__Bernardetiaceae	0	2.0	0
f__Catalimonadaceae	1.0	0	0
f__CCMP332	0	0	0
f__Cyclobacteriaceae	1.5333333333333334	1.8235294117647056	1.75
f__Cytophagaceae	0	0	0
f__Flammeovirgaceae	0	3.0	0
f__Hymenobacteraceae	0	0	2.0
f__MED-G16	0	0	0
f__Microscillaceae	2.0	0	0
f__Spirosomaceae	2.375	1.0	2.0
f__Thermonemataceae	0	0	0
f__UBA9547	0	0	0
f__WTJX01	0	1.0	0
f__BACL11	0	1.0377358490566038	0
f__Blattabacteriaceae	0	0	0
f__CAIKAF01	0.8571428571428571	0	2.333333333333333
f__Crocinitomicaceae	1.6666666666666667	1.3255813953488371	1.4
f__Cryomorphaceae	1.0	0	0
f__DT-38	0	0	0
f__ECT2AJA-044	0	0	0
f__Flavobacteriaceae	1.8	1.5131375579598143	1.2916666666666667
f__GCA-002722245	0	1.5555555555555556	0
f__GCA-2746335	0	0	0
f__Ichthyobacteriaceae	0	0	0
f__JAADED01	0	0	0
f__JABDKJ01	0	0	0
f__Luteibaculaceae	0	1.5	0
f__M30B66	0	0	0
f__NORP154	0	0	0
f__PHOS-HE28	0	0	0
f__Salibacteraceae	0	0.8918918918918919	0
f__SAT41	0	0	0
f__Schleiferiaceae	1.0	1.5632183908045978	0
f__TMED113	0	1.0	0
f__UA16	1.125	0.9629629629629628	0
f__UBA10066	0	1.457142857142857	0
f__UBA10329	1.0	0.5	0
f__UBA1820	0	0	0
f__UBA2798	0	0	0
f__UBA7312	0	1.0909090909090908	0
f__UBA7430	0	1.2222222222222223	0
f__UJ101	0	0	0
f__Vicingaceae	2.0	1.4642857142857142	0
f__Weeksellaceae	0	1.0	0.908256880733945
f__J057	0	1.0	0
f__JADKCL01	0	0	0
f__RFSG01	1.0	0	0
f__NORP286	0	0	0
f__CAINMV01	0	0	0
f__SHWZ01	0	0	0
f__UBA8524	1.0	1.0	0
f__UBA9320	0.6666666666666666	1.5294117647058822	0
f__UBA955	1.5555555555555556	1.0	1.0
f__UKL13-3	2.0	0	0
f__CAIKLP01	1.0	0	0
f__Sphingobacteriaceae	0	1.0	1.0571428571428572
f__JAADEI01	0	0	0
f__S141-50	0	0	0
f__SpSt-205	0	0	0
f__UBA7662	2.0	0	0
f__Chlorobiaceae	0.9090909090909092	1.0	0
f__Chloroherpetonaceae	0	0	0
f__Ch128b	0	0	0
f__Ignavibacteriaceae	1.6666666666666667	0	1.0
f__Melioribacteraceae	1.3333333333333333	1.5	1.5
f__SURF-24	0	0	2.0
f__B-1AR	0	0	1.0
f__OLB5	1.0	0	0
f__JABWAT01	0	0	0
f__HRBIN21	0	0	0
f__JAEUSM01	0	0	0
f__Kapabacteriaceae	2.571428571428572	0	0
f__NICIL-2	2.0	0	0
f__UBA2268	1.0	1.8333333333333333	1.5
f__UBA4661	0	0	0
f__UBA7675	0	0	0
f__UBA961	3.0	0	0
f__WFXC01	0	0	0
f__OLB7	0	0	0
f__Palsa-1295	0	0	1.5
f__Kryptoniaceae	0	0	0
f__Balneolaceae	0	1.575	0
f__HLUCCA01	3.0	0	0
f__M1805	0	0	0
f__Natronogracilivirgulaceae	0	0	0
f__PXAI01	0	0	0
f__BA12	0	0	0
f__Bin80	0	0	0
f__ISCAR-4553	0	0	0
f__MEBIC09517	0	0	0
f__Rhodothermaceae	0	2.0	0
f__Rubricoccaceae	0	1.0	0
f__Salinibacteraceae	0	2.0	0
f__UBA10348	0	0.75	0
f__UBA2364	0	0	0
f__VXPQ01	0	0	0
f__GCA-2699105	0	0	0
f__JAADGX01	0	0	0
f__SZUA-365	0	0	0
f__T3Sed10-11	0	0	0
f__BY39	0	0	0
f__F1-140-MAGs086	1.0	0	1.0
f__SZUA-254	1.0	0	0
f__UBA10030	2.0	0	1.0
f__UBA6906	0	0	0
f__UBA8401	1.0	0	0
f__Bacteriovoracaceae	0.0	0.3043478260869565	0
f__CAIPTA01	0	0	0
f__JAALKR01	0	0	0
f__CAIMNF01	0	0	1.0
f__UBA1018	0.7368421052631579	0	1.0
f__UBA6935	0	0	0
f__UBA923	0	0	0
f__1-14-0-10-45-34	0	0	0
f__Bdellovibrionaceae	1.0	0.0	0.0
f__JACOND01	0	0	0
f__SG-bin7	0	0	0
