id	exitYN
f__0-14-0-10-38-17	N
f__0-14-0-20-40-13	Y
f__0-14-0-80-42-15	N
f__0-14-0-80-59-12	N
f__0-14-0-80-60-11	Y
f__01-FULL-45-10b	Y
f__02-FULL-45-10c	N
f__1-14-0-10-40-38	N
f__1-14-0-10-41-12	N
f__1-14-0-10-42-19	N
f__1-14-0-10-43-13	Y
f__1-14-0-10-44-23	N
f__1-14-0-10-45-34	N
f__1-14-0-20-42-13	N
f__1-14-0-20-45-26	N
f__1-14-0-20-47-16	N
f__1-14-0-20-49-13	N
f__1-14-0-20-64-10	Y
f__1-14-2-50-48-13	N
f__13-1-40CM-64-14	N
f__1604HC	N
f__16-39-46	N
f__172606-1	Y
f__2013-40CM-41-45	Y
f__2013Ark19i	N
f__2-01-FULL-39-13	N
f__2-01-FULL-39-33	N
f__2-01-FULL-40-14	N
f__2-01-FULL-41-18	N
f__2-01-FULL-43-14	N
f__2-01-FULL-45-10	Y
f__2-01-FULL-45-11	N
f__2-01-FULL-45-33	N
f__2-01-FULL-46-14	N
f__2-01-FULL-47-10	N
f__2-01-FULL-50-11	N
f__2-01-FULL-51-21	N
f__2-01-FULL-52-15	N
f__2-01-FULL-56-20	Y
f__2-01-FULL-58-14	N
f__2-01-FULL-59-12	N
f__2-01-FULL-66-17	N
f__2-02-FULL-35-15	Y
f__2-02-FULL-39-11	N
f__2-02-FULL-39-32	N
f__2-02-FULL-40-11	N
f__2-02-FULL-40-12	N
f__2-02-FULL-43-11	N
f__2-02-FULL-44-16	N
f__2-02-FULL-46-11	N
f__2-02-FULL-48-12	N
f__2-02-FULL-48-14	Y
f__2-02-FULL-49-11	Y
f__2-02-FULL-50-16	N
f__2-02-FULL-50-16-A	N
f__2-02-FULL-50-9b	N
f__2-02-FULL-51-18	Y
f__2-02-FULL-58-16	Y
f__2-02-FULL-58-16_A	Y
f__2-02-FULL-66-22	Y
f__2-02-FULL-67-57	N
f__20CM-2-55-15	N
f__21-14-0-10-42-9	N
f__21-14-0-20-44-7	N
f__21-14-all-36-13	N
f__21-14-all-47-15	N
f__2-12-FULL-35-15	Y
f__2-12-FULL-37-12	N
f__2-12-FULL-38-22	N
f__2-12-FULL-40-10	N
f__2-12-FULL-40-12	N
f__2-12-FULL-40-28	N
f__2-12-FULL-41-12	N
f__2-12-FULL-41-13	N
f__2-12-FULL-45-22	N
f__2-12-FULL-49-11	N
f__2-12-FULL-50-11	N
f__2-12-FULL-54-10	N
f__2-12-FULL-57-11	N
f__2-12-FULL-60-25	Y
f__2-12-FULL-62-27	N
f__2-12-FULL-66-21	N
f__2-12-FULL-67-15	Y
f__21-64-14	N
f__32-111	Y
f__33-17	N
f__34-128	N
f__40CM-4-68-19	Y
f__43-37	N
f__4484-107	N
f__4484-113	Y
f__4484-171	Y
f__4484-211	N
f__4484-213	N
f__4484-219	N
f__4484-276	N
f__4484-49	N
f__4484-93	N
f__4484-95	N
f__4572-123	N
f__4572-128	Y
f__4572-55	N
f__4572-78	N
f__46-47	N
f__4be13	N
f__54-19	N
f__70-9	Y
f__79-D21	N
f__9FT-COMBO-42-15	N
f__9FT-COMBO-53-11	N
f__A4b	Y
f__AA152	N
f__AAA071-K20	Y
f__AAA164-E04	Y
f__AAA536-G10	Y
f__AABM5-125-24	N
f__AABM5-25-91	N
f__AB1-6	N
f__AB-539-J10	Y
f__Abditibacteriaceae	Y
f__AC-14	Y
f__AC-25	N
f__AC-35	N
f__AC-67	N
f__AcAMD-5	Y
f__Acanthopleuribacteraceae	N
f__Acetivibrionaceae	Y
f__Acetobacteraceae	Y
f__Acetohalobiaceae	Y
f__Acetomicrobiaceae	N
f__Acetonemaceae	N
f__Acholeplasmataceae	Y
f__Acidaminobacteraceae	Y
f__Acidaminococcaceae	N
f__Acidibacillaceae	N
f__Acidiferrobacteraceae	N
f__Acidihalobacteraceae	N
f__Acidimicrobiaceae	N
f__Acidithiobacillaceae	Y
f__Acidobacteriaceae	Y
f__Acidothermaceae	N
f__Actinomarinaceae	Y
f__Actinomycetaceae	Y
f__Actinopolymorphaceae	N
f__Acutalibacteraceae	Y
f__Adiutricaceae	N
f__AE-B3A	N
f__Aeribacillaceae	N
f__Aerococcaceae	Y
f__Aeromonadaceae	Y
f__Aerophobaceae	N
f__Aestuariirhabdaceae	N
f__Aestuariivirgaceae	N
f__Afifellaceae	N
f__AG-339-G14	Y
f__AG-410-N11	N
f__AG-422-B15	Y
f__Aggregatilineaceae	N
f__Ahniellaceae	N
f__AK92	N
f__Akkermansiaceae	Y
f__AKS1	N
f__Alcanivoracaceae	Y
f__Algiphilaceae	Y
f__Alicyclobacillaceae	Y
f__Alkalibacillaceae	N
f__Alkalibacteraceae	N
f__Alkalispirochaetaceae	N
f__Alteromonadaceae	Y
f__AMD01	N
f__Amesbacteraceae	N
f__Aminicenantaceae	Y
f__Aminicenantaceae_A	Y
f__Aminiphilaceae	N
f__Aminobacteriaceae	Y
f__Ammonificaceae	N
f__Amoebophilaceae	N
f__Amorphaceae	Y
f__Amphibacillaceae	Y
f__Anaerobacillaceae	N
f__Anaeroferrophillaceae	N
f__Anaerofustaceae	N
f__Anaerohalosphaeraceae	N
f__Anaerolineaceae	Y
f__Anaeromusaceae	N
f__Anaeromyxobacteraceae	Y
f__Anaeroplasmataceae	N
f__Anaerotignaceae	Y
f__Anaerovoracaceae	Y
f__Anaplasmataceae	Y
f__Ancalomicrobiaceae	Y
f__Aneurinibacillaceae	N
f__Angustibacteraceae	N
f__Anoxybacillaceae	Y
f__Anoxymicrobiaceae	N
f__Antricoccaceae	N
f__AqS2	N
f__AqS3	N
f__AQU-01	N
f__Aquaspirillaceae	N
f__Aquicultoraceae	N
f__Aquificaceae	N
f__Aquisalimonadaceae	N
f__Arcanobacteraceae	N
f__Arcobacteraceae	Y
f__Ardenticatenaceae	N
f__Arenicellaceae	Y
f__Armatimonadaceae	Y
f__ARS1013	Y
f__ARS1246	N
f__ARS69	N
f__ATBO01	N
f__ATM1	Y
f__ATN3	N
f__Atopobiaceae	Y
f__Atribacteraceae	N
f__AV2	N
f__AWTP1-31	N
f__Azobacteroidaceae	N
f__Azospirillaceae	Y
f__B119-G9	N
f__B11-G9	N
f__B129-G9	N
f__B12-G15	Y
f__B130-G9	N
f__B13-G15	Y
f__B143-G9	N
f__B14-G1	Y
f__B15-G4	Y
f__B15-G9	N
f__B-17BO	Y
f__B18-G4	N
f__B-1AR	Y
f__B1SED10-159	N
f__B1SED10-174	N
f__B21-G15	N
f__B21-G16	N
f__B21-G9	N
f__B22-G15	N
f__B25-G16	Y
f__B26-G2	Y
f__B26-G9	Y
f__B28-G17	N
f__B30-G16	N
f__B30-G6	N
f__B32-G15	N
f__B32-G16	N
f__B36-G15	N
f__B39-G9	N
f__B3-B38	N
f__B3-Chlor	N
f__B3-G13	N
f__B3-G15	N
f__B3-LCP	Y
f__B3-TA06	Y
f__B47-G16	Y
f__B48-G9	N
f__B4-G1	N
f__B51-G9	Y
f__B5-G15	N
f__B62-G9	N
f__B64-G9	Y
f__B68-G9	Y
f__B70-G9	N
f__B8-G9	N
f__BA12	N
f__Babeliaceae	N
f__Bacillaceae	Y
f__Bacillaceae_B	Y
f__Bacillaceae_C	Y
f__Bacillaceae_D	N
f__Bacillaceae_F	N
f__Bacillaceae_G	Y
f__Bacillaceae_H	Y
f__Bacillaceae_I	N
f__Bacillaceae_J	N
f__Bacillaceae_K	N
f__Bacillaceae_L	N
f__Bacillaceae_M	N
f__Bacillaceae_N	N
f__Bacillaceae_O	N
f__BACL11	Y
f__BACL12	Y
f__Bacteriovoracaceae	Y
f__Bacteroidaceae	Y
f__Balneolaceae	Y
f__Baltobacteraceae	Y
f__Barnesiellaceae	N
f__BB28	N
f__Bdellovibrionaceae	Y
f__Beggiatoaceae	Y
f__Beijerinckiaceae	Y
f__Berkiellaceae	Y
f__Bernardetiaceae	Y
f__Beutenbergiaceae	N
f__BHER01	N
f__BICA1-8	N
f__Bifidobacteriaceae	N
f__Bin103	N
f__Bin106	N
f__Bin125	N
f__Bin127	Y
f__Bin134	N
f__Bin18	Y
f__Bin61	N
f__Bin65	N
f__Bin76	N
f__Bin80	N
f__Bin95	Y
f__Bin98	N
f__Binataceae	Y
f__Bipolaricaulaceae	Y
f__BJGX01	N
f__BJHT01	N
f__Blattabacteriaceae	N
f__BLZN01	N
f__BM002	Y
f__BM003	N
f__BM004	Y
f__BM103	Y
f__BM303	N
f__BM501	N
f__BM507	N
f__BM512	N
f__BM515	N
f__BM520	N
f__BM523	Y
f__BM714	N
f__BMS3ABIN01	N
f__BMS3Abin05	N
f__BMS3Abin14	N
f__BMS3BBIN04	Y
f__BMS3Bbin05	N
f__BMS3Bbin08	N
f__BMS3Bbin11	N
f__Bog-1112	N
f__Bog-793	Y
f__Bog-877	N
f__BOG-932	N
f__BOKC01	N
f__Borkfalkiaceae	N
f__Borreliaceae	N
f__Brachyspiraceae	N
f__Bradymonadaceae	Y
f__Brennerbacteraceae	N
f__Brevibacillaceae	Y
f__Brevibacteriaceae	Y
f__Brevinemataceae	N
f__Brocadiaceae	N
f__Bryobacteraceae	Y
f__BS150m-G50	N
f__BS150m-G59	N
f__BS150m-G62	N
f__BS750m-G25	N
f__BS750m-G30	N
f__BS750m-G34	N
f__BS750m-G39	N
f__Bu05	N
f__Bu12	N
f__Bu52	N
f__Bu92	N
f__Burkholderiaceae	Y
f__Burkholderiaceae_A	Y
f__BuS5	N
f__Butyricicoccaceae	Y
f__BX7	N
f__BY39	N
f__C00003060	Y
f__C00003106	N
f__CAACVY01	N
f__CACEW01	Y
f__CACIAM-22H2	Y
f__CACIAM-69d	N
f__CACJXQ01	Y
f__CACLRR01	N
f__CACVAW01	N
f__CACXFL01	Y
f__CACZRW01	N
f__CACZYB01	N
f__CADAEX01	N
f__CADAWZ01	N
f__CADBOM01	N
f__CADBQJ01	N
f__CADCSY01	N
f__CADCTF01	N
f__CADCTP01	N
f__CADCWN01	N
f__CADDYW01	N
f__CADDZG01	N
f__CADDZV01	N
f__CADEER01	N
f__CADEGL01	N
f__CADEHE01	N
f__Caedimonadaceae	N
f__Caenarcanaceae	Y
f__CAFBRK01	N
f__CAG-1252	N
f__CAG-138	Y
f__CAG-239	N
f__CAG-272	Y
f__CAG-274	N
f__CAG-288	N
f__CAG-312	Y
f__CAG-313	Y
f__CAG-314	N
f__CAG-382	Y
f__CAG-449	N
f__CAG-465	N
f__CAG-508	N
f__CAG-552	N
f__CAG-631	N
f__CAG-698	N
f__CAG-74	Y
f__CAG-826	Y
f__CAG-917	N
f__CAG-977	N
f__CAIJKW01	N
f__CAIJKY01	N
f__CAIJLX01	Y
f__CAIJMQ01	Y
f__CAIJXV01	Y
f__CAIJYI01	N
f__CAIJZX01	N
f__CAIKAF01	Y
