	parent	node	label	nodeClass	nodeDepth	numGroup
1	2271	1	f__20CM-2-55-15	OTU	5	NoUse
2	2272	2	f__2-12-FULL-54-10	OTU	5	NoUse
3	2273	3	f__Acidobacteriaceae	OTU	5	10-100
4	2273	4	f__CAINCZ01	OTU	5	NoUse
5	2273	5	f__DSPA01	OTU	5	NoUse
6	2273	6	f__Gp1-AA112	OTU	5	<10
7	2273	7	f__Gp1-AA117	OTU	5	<10
8	2273	8	f__JACPNR01	OTU	5	NoUse
9	2273	9	f__Koribacteraceae	OTU	5	10-100
10	2273	10	f__QIAW01	OTU	5	NoUse
11	2273	11	f__SbA1	OTU	5	NoUse
12	2273	12	f__SCQP01	OTU	5	NoUse
13	2274	13	f__2-02-FULL-67-57	OTU	5	NoUse
14	2274	14	f__UBA7541	OTU	5	10-100
15	2275	15	f__Bryobacteraceae	OTU	5	10-100
16	2275	16	f__JACQDG01	OTU	5	NoUse
17	2275	17	f__UBA6623	OTU	5	10-100
18	2276	18	f__UBA7540	OTU	5	10-100
19	2277	19	f__VXMN01	OTU	5	NoUse
20	2278	20	f__Aminicenantaceae	OTU	5	<10
21	2278	21	f__Aminicenantaceae_A	OTU	5	NoUse
22	2278	22	f__DTGS01	OTU	5	NoUse
23	2278	23	f__JAFGBC01	OTU	5	NoUse
24	2278	24	f__RBG-16-66-30	OTU	5	<10
25	2278	25	f__Saccharicenantaceae	OTU	5	NoUse
26	2278	26	f__UBA4085	OTU	5	<10
27	2278	27	f__UBA8522	OTU	5	NoUse
28	2279	28	f__DTKB01	OTU	5	NoUse
29	2280	29	f__JdFR-78	OTU	5	NoUse
30	2281	30	f__S016-38	OTU	5	NoUse
31	2282	31	f__UBA2199	OTU	5	<10
32	2283	32	f__B3-B38	OTU	5	NoUse
33	2284	33	f__JAFGBY01	OTU	5	NoUse
34	2285	34	f__Chloracidobacteriaceae	OTU	5	NoUse
35	2285	35	f__JADJPF01	OTU	5	NoUse
36	2286	36	f__DSOJ01	OTU	5	NoUse
37	2287	37	f__HR10	OTU	5	<10
38	2287	38	f__JACQTD01	OTU	5	NoUse
39	2288	39	f__Pyrinomonadaceae	OTU	5	10-100
40	2289	40	f__RBC074	OTU	5	NoUse
41	2290	41	f__JADIYM01	OTU	5	NoUse
42	2290	42	f__UBA7656	OTU	5	<10
43	2291	43	f__CAIWXX01	OTU	5	NoUse
44	2292	44	f__Acanthopleuribacteraceae	OTU	5	NoUse
45	2293	45	f__Holophagaceae	OTU	5	10-100
46	2294	46	f__Thermotomaculaceae	OTU	5	NoUse
47	2295	47	f__HRBIN11	OTU	5	NoUse
48	2296	48	f__AA152	OTU	5	NoUse
49	2296	49	f__Gp22-AA2	OTU	5	NoUse
50	2297	50	f__J045	OTU	5	NoUse
51	2298	51	f__JACPZX01	OTU	5	NoUse
52	2299	52	f__QHYA01	OTU	5	NoUse
53	2300	53	f__SMYD01	OTU	5	NoUse
54	2301	54	f__Gp7-AA8	OTU	5	10-100
55	2302	55	f__FEB-10	OTU	5	<10
56	2302	56	f__Thermoanaerobaculaceae	OTU	5	NoUse
57	2303	57	f__UBA2201	OTU	5	NoUse
58	2304	58	f__Gp7-AA6	OTU	5	<10
59	2304	59	f__UBA5066	OTU	5	<10
60	2305	60	f__QQVD01	OTU	5	NoUse
61	2305	61	f__UBA5704	OTU	5	10-100
62	2306	62	f__DSQY01	OTU	5	NoUse
63	2306	63	f__UBA4820	OTU	5	NoUse
64	2307	64	f__CAINFC01	OTU	5	NoUse
65	2308	65	f__JAAYUB01	OTU	5	NoUse
66	2309	66	f__JACOSC01	OTU	5	NoUse
67	2310	67	f__JACQTF01	OTU	5	NoUse
68	2311	68	f__JACQSX01	OTU	5	NoUse
69	2311	69	f__RPQK01	OTU	5	NoUse
70	2312	70	f__UBA890	OTU	5	<10
71	2312	71	f__WLXD01	OTU	5	NoUse
72	2313	72	f__Bin61	OTU	5	NoUse
73	2313	73	f__SMYC01	OTU	5	NoUse
74	2314	74	f__Fen-336	OTU	5	NoUse
75	2314	75	f__JAGNNV01	OTU	5	NoUse
76	2315	76	f__2-12-FULL-66-21	OTU	5	NoUse
77	2315	77	f__Fen-181	OTU	5	NoUse
78	2315	78	f__JACPPN01	OTU	5	NoUse
79	2315	79	f__JACQTH01	OTU	5	NoUse
80	2315	80	f__JAFNAJ01	OTU	5	NoUse
81	2315	81	f__SCN-69-37	OTU	5	<10
82	2315	82	f__UBA2999	OTU	5	10-100
83	2315	83	f__UBA823	OTU	5	10-100
84	2315	84	f__UBA8438	OTU	5	10-100
85	2315	85	f__Vicinamibacteraceae	OTU	5	NoUse
86	2316	86	f__AC-14	OTU	5	<10
87	2316	87	f__AC-25	OTU	5	NoUse
88	2316	88	f__AC-35	OTU	5	NoUse
89	2316	89	f__Acidimicrobiaceae	OTU	5	NoUse
90	2316	90	f__Bin134	OTU	5	NoUse
91	2316	91	f__Bog-793	OTU	5	<10
92	2316	92	f__CADCSY01	OTU	5	NoUse
93	2316	93	f__CADCTF01	OTU	5	NoUse
94	2316	94	f__CAIXPF01	OTU	5	NoUse
95	2316	95	f__GCA-2861595	OTU	5	NoUse
96	2316	96	f__Ilumatobacteraceae	OTU	5	10-100
97	2316	97	f__JAAYBP01	OTU	5	NoUse
98	2316	98	f__JABEUL01	OTU	5	NoUse
99	2316	99	f__JACDCH01	OTU	5	<10
100	2316	100	f__JACDEA01	OTU	5	NoUse
101	2316	101	f__JADJXE01	OTU	5	NoUse
102	2316	102	f__JAEUJM01	OTU	5	NoUse
103	2316	103	f__JAFATL01	OTU	5	NoUse
104	2316	104	f__MedAcidi-G1	OTU	5	10-100
105	2316	105	f__Microtrichaceae	OTU	5	10-100
106	2316	106	f__Palsa-688	OTU	5	<10
107	2316	107	f__QHCF01	OTU	5	<10
108	2316	108	f__RAAP-2	OTU	5	10-100
109	2316	109	f__SHLQ01	OTU	5	NoUse
110	2316	110	f__SIRW01	OTU	5	NoUse
111	2316	111	f__SKKL01	OTU	5	NoUse
112	2316	112	f__SZUA-35	OTU	5	NoUse
113	2316	113	f__TK06	OTU	5	10-100
114	2316	114	f__UBA10347	OTU	5	NoUse
115	2316	115	f__UBA11606	OTU	5	10-100
116	2316	116	f__UBA8139	OTU	5	10-100
117	2316	117	f__UBA8190	OTU	5	<10
118	2316	118	f__UBA8592	OTU	5	10-100
119	2316	119	f__WLNW01	OTU	5	NoUse
120	2317	120	f__Actinomarinaceae	OTU	5	10-100
121	2318	121	f__ATN3	OTU	5	NoUse
122	2319	122	f__Chersky-534	OTU	5	NoUse
123	2319	123	f__IMCC26256	OTU	5	<10
124	2319	124	f__JACPCJ01	OTU	5	NoUse
125	2319	125	f__JAGNEX01	OTU	5	NoUse
126	2319	126	f__JAGPDB01	OTU	5	NoUse
127	2319	127	f__PALSA-555	OTU	5	<10
128	2319	128	f__PALSA-610	OTU	5	NoUse
129	2319	129	f__VFJJ01	OTU	5	NoUse
130	2320	130	f__UBA2766	OTU	5	<10
131	2321	131	f__Bin76	OTU	5	NoUse
132	2321	132	f__JAENVV01	OTU	5	NoUse
133	2321	133	f__S012-128	OTU	5	NoUse
134	2321	134	f__SHLN01	OTU	5	NoUse
135	2321	135	f__SZUA-232	OTU	5	NoUse
136	2321	136	f__UBA11373	OTU	5	NoUse
137	2321	137	f__UBA4744	OTU	5	NoUse
138	2321	138	f__UBA5794	OTU	5	<10
139	2321	139	f__ZC4RG35	OTU	5	<10
140	2322	140	f__Acidothermaceae	OTU	5	NoUse
141	2323	141	f__Actinomycetaceae	OTU	5	<10
142	2323	142	f__Angustibacteraceae	OTU	5	NoUse
143	2323	143	f__Beutenbergiaceae	OTU	5	NoUse
144	2323	144	f__Bifidobacteriaceae	OTU	5	NoUse
145	2323	145	f__Brevibacteriaceae	OTU	5	<10
146	2323	146	f__Cellulomonadaceae	OTU	5	10-100
147	2323	147	f__Demequinaceae	OTU	5	<10
148	2323	148	f__Dermabacteraceae	OTU	5	<10
