	Group	std	mean	Max	Letters	BGC
1	Freshwater	 4.520377	10.598582	52.000000	a	bacteriocin
2	Marine	 4.758315	11.442552	57.000000	b	bacteriocin
3	Terrestrial	 3.223018	10.243767	29.000000	a	bacteriocin
4	Freshwater	 6.038777	16.030908	40.000000	a	terpene
5	Marine	 5.723098	17.594165	41.000000	b	terpene
6	Terrestrial	 5.453720	17.632850	35.000000	b	terpene
7	Freshwater	 7.968371	20.670213	51.000000	a	betalactone
8	Marine	 6.637778	21.520212	45.000000	a	betalactone
9	Terrestrial	 5.290810	22.257038	37.000000	b	betalactone
10	Freshwater	13.88036	17.18325	57.00000	a	NRPS
11	Marine	16.06026	19.68929	66.00000	a	NRPS
12	Terrestrial	16.65877	21.71504	69.00000	b	NRPS
13	Freshwater	14.97461	27.93116	63.00000	a	arylpolyene
14	Marine	15.06675	29.15802	74.00000	a	arylpolyene
15	Terrestrial	13.67088	29.70846	64.00000	a	arylpolyene
16	Freshwater	10.339383	 9.731707	37.000000	a	hglE-KS
17	Marine	12.607147	15.459658	45.000000	b	hglE-KS
18	Terrestrial	12.004985	13.226415	39.000000	ab	hglE-KS
19	Freshwater	 2.628352	 9.823529	18.000000	a	ectoine
20	Marine	 2.621284	 9.258741	33.000000	c	ectoine
21	Terrestrial	 2.995205	 8.770161	35.000000	b	ectoine
22	Freshwater	12.21433	22.40724	49.00000	a	NRPS-like
23	Marine	13.43131	21.02479	52.00000	a	NRPS-like
24	Terrestrial	13.07242	25.31187	51.00000	b	NRPS-like
25	Freshwater	 7.275243	15.437500	31.000000	a	TfuA-related
26	Marine	 6.622233	15.555556	33.000000	a	TfuA-related
27	Terrestrial	 6.016714	15.409091	26.000000	a	TfuA-related
28	Freshwater	 5.736831	10.291667	27.000000	ab	siderophore
29	Marine	 2.359163	 9.555985	21.000000	b	siderophore
30	Terrestrial	 3.065324	10.145889	33.000000	a	siderophore
31	Freshwater	 0.5773503	10.6666667	11.0000000	a	NAGGN
32	Marine	 3.0824342	11.1666667	36.0000000	a	NAGGN
33	Terrestrial	 2.1672600	11.4189189	28.0000000	a	NAGGN
34	Freshwater	12.69194	18.45092	44.00000	a	T1PKS
35	Marine	13.36616	17.27322	50.00000	a	T1PKS
36	Terrestrial	13.52737	17.84223	48.00000	a	T1PKS
37	Freshwater	14.40016	19.65333	51.00000	a	resorcinol
38	Marine	15.25905	27.52683	50.00000	b	resorcinol
39	Terrestrial	15.13790	29.22426	61.00000	b	resorcinol
40	Freshwater	12.00423	22.75623	55.00000	a	T3PKS
41	Marine	12.55008	26.53464	53.00000	c	T3PKS
42	Terrestrial	12.51252	29.53552	54.00000	b	T3PKS
43	Freshwater	18.25493	35.95652	65.00000	a	acyl_amino_acids
44	Marine	20.02951	34.41304	64.00000	a	acyl_amino_acids
45	Terrestrial	16.15139	41.70588	60.00000	a	acyl_amino_acids
46	Freshwater	 4.972145	16.500000	25.000000	a	linaridin
47	Marine	 2.819997	20.571429	23.000000	a	linaridin
48	Terrestrial	 3.696846	19.500000	25.000000	a	linaridin
49	Freshwater	 8.102812	 8.900000	22.000000	a	cyanobactin
50	Marine	10.662594	16.090909	36.000000	a	cyanobactin
51	Terrestrial	NA	17.000000	17.000000	a	cyanobactin
52	Freshwater	13.05374	25.90000	59.00000	ab	phosphonate
53	Marine	12.77865	23.69600	47.00000	b	phosphonate
54	Terrestrial	11.22573	29.72727	43.00000	a	phosphonate
55	Freshwater	 2.311805	 1.700000	 6.000000	a	PUFA
56	Marine	11.093001	 8.434263	37.000000	a	PUFA
57	Terrestrial	NA	17.000000	17.000000	a	PUFA
58	Freshwater	11.336318	19.562500	36.000000	ab	thiopeptide
59	Marine	 9.565083	20.680000	39.000000	b	thiopeptide
60	Terrestrial	 6.130929	17.604478	37.000000	a	thiopeptide
61	Freshwater	 7.676300	17.018349	40.000000	a	hserlactone
62	Marine	 5.182332	17.652632	43.000000	a	hserlactone
63	Terrestrial	 6.302972	17.286245	38.000000	a	hserlactone
64	Freshwater	 8.251115	20.878378	42.000000	a	lassopeptide
65	Marine	 6.647619	18.115942	33.000000	ab	lassopeptide
66	Terrestrial	 6.034538	18.148515	35.000000	b	lassopeptide
67	Freshwater	 7.257041	13.288889	29.000000	a	lanthipeptide
68	Marine	 6.991394	15.137500	33.000000	a	lanthipeptide
69	Terrestrial	 5.807734	17.602210	37.000000	b	lanthipeptide
70	Freshwater	12.04535	20.90476	45.00000	a	other
71	Marine	13.05790	28.74510	62.00000	b	other
72	Terrestrial	12.06948	29.21212	46.00000	ab	other
73	Freshwater	 3.082207	 9.666667	14.000000	ab	butyrolactone
74	Marine	 5.310051	12.457143	29.000000	b	butyrolactone
75	Terrestrial	 3.039207	 9.933333	22.000000	a	butyrolactone
76	Freshwater	 9.036039	14.000000	38.000000	a	LAP
77	Marine	 8.559857	14.670588	41.000000	a	LAP
78	Terrestrial	11.396538	14.912088	55.000000	a	LAP
79	Freshwater	 1.414214	13.000000	14.000000	a	T2PKS
80	Marine	31.866911	64.000000	79.000000	a	T2PKS
81	Terrestrial	NA	 9.000000	 9.000000	a	T2PKS
82	Freshwater	11.84483	14.60000	35.00000	a	PKS-like
83	Marine	14.02854	21.00000	42.00000	a	PKS-like
84	Terrestrial	12.66886	15.00000	41.00000	a	PKS-like
85	Freshwater	 3.428762	16.384615	23.000000	a	CDPS
86	Marine	 7.955880	15.446809	40.000000	a	CDPS
87	Terrestrial	 4.647580	16.000000	23.000000	a	CDPS
88	Freshwater	11.07144	21.62921	41.00000	a	ladderane
89	Marine	13.10961	24.40625	50.00000	ab	ladderane
90	Terrestrial	12.83574	28.05455	44.00000	b	ladderane
91	Freshwater	 6.7019898	16.2500000	26.0000000	a	nucleoside
92	Marine	 4.6362957	16.2666667	21.0000000	a	nucleoside
93	Terrestrial	 0.5773503	15.6666667	16.0000000	a	nucleoside
94	Freshwater	 7.000000	15.000000	23.000000	a	indole
95	Marine	 7.375636	15.600000	37.000000	a	indole
96	Terrestrial	 6.572085	16.769231	25.000000	a	indole
97	Freshwater	12.986531	 4.875000	53.000000	a	transAT-PKS-like
98	Marine	10.155927	 8.285714	30.000000	a	transAT-PKS-like
99	Terrestrial	10.595000	 7.566667	42.000000	a	transAT-PKS-like
100	Freshwater	 4.031129	10.750000	15.000000	a	microviridin
101	Marine	NA	18.000000	18.000000	ab	microviridin
102	Terrestrial	 4.657661	18.957447	26.000000	b	microviridin
103	Freshwater	 4.538722	13.750000	20.000000	a	sactipeptide
104	Marine	 8.485281	 8.000000	14.000000	a	sactipeptide
105	Terrestrial	 4.048751	16.726316	28.000000	a	sactipeptide
106	Freshwater	 9.133924	15.000000	25.000000	a	proteusin
107	Marine	 6.504436	 7.000000	19.000000	a	proteusin
108	Terrestrial	 9.128709	11.000000	29.000000	a	proteusin
109	Freshwater	10.962056	 7.833333	28.000000	a	transAT-PKS
110	Marine	16.740669	20.875000	50.000000	a	transAT-PKS
111	Terrestrial	16.592179	17.130435	50.000000	a	transAT-PKS
