	Group	std	mean	Max	Letters	BGC
1	Freshwater	  5.745867	 10.686187	 60.639000	a	bacteriocin
2	Marine	  7.030396	 10.963130	124.235000	b	bacteriocin
3	Terrestrial	  6.576827	 11.086866	115.218000	b	bacteriocin
4	Freshwater	 6.216898	17.149628	81.663000	a	terpene
5	Marine	 5.654937	17.898586	88.574000	c	terpene
6	Terrestrial	 6.575306	19.139925	75.289000	b	terpene
7	Freshwater	  8.556929	 23.496340	 55.634000	a	betalactone
8	Marine	  8.195846	 24.818219	 87.775000	a	betalactone
9	Terrestrial	  7.111490	 26.656847	114.222000	b	betalactone
10	Freshwater	 21.38187	 36.72059	114.79700	a	NRPS
11	Marine	 24.00395	 40.61263	124.23500	b	NRPS
12	Terrestrial	 23.46767	 37.34762	275.33900	a	NRPS
13	Freshwater	16.65413	31.34973	76.41400	a	arylpolyene
14	Marine	16.14708	36.49785	98.43700	b	arylpolyene
15	Terrestrial	14.29208	36.44785	84.45000	b	arylpolyene
16	Freshwater	16.73069	28.11322	78.45100	a	hglE-KS
17	Marine	19.04580	36.95580	88.57400	b	hglE-KS
18	Terrestrial	18.65164	34.02275	66.08300	a	hglE-KS
19	Freshwater	 5.835694	10.185961	49.348000	a	ectoine
20	Marine	 4.666564	10.491788	54.023000	a	ectoine
21	Terrestrial	18.500829	22.356770	52.719000	b	ectoine
22	Freshwater	 12.86989	 28.10684	 78.45100	a	NRPS-like
23	Marine	 16.67728	 30.74320	124.23500	c	NRPS-like
24	Terrestrial	 14.93619	 33.91276	 97.15700	b	NRPS-like
25	Freshwater	 5.010000	17.330063	25.536000	a	TfuA-related
26	Marine	10.016741	22.904444	55.157000	a	TfuA-related
27	Terrestrial	 5.816737	18.918205	28.786000	a	TfuA-related
28	Freshwater	 5.368600	14.008917	29.206000	a	siderophore
29	Marine	 4.079797	13.729919	43.100000	a	siderophore
30	Terrestrial	 5.221895	13.896422	66.608000	a	siderophore
31	Freshwater	 0.1140716	14.8693333	14.9810000	ab	NAGGN
32	Marine	 3.2123499	14.4432750	42.2260000	b	NAGGN
33	Terrestrial	 2.1762588	15.1840360	36.2720000	a	NAGGN
34	Freshwater	 18.75506	 35.65266	114.79700	a	T1PKS
35	Marine	 22.52864	 38.38466	117.81100	a	T1PKS
36	Terrestrial	 30.63349	 43.81488	275.33900	b	T1PKS
37	Freshwater	15.78551	31.62015	61.35900	a	resorcinol
38	Marine	15.72411	37.71094	86.15300	b	resorcinol
39	Terrestrial	16.69194	38.96942	83.66500	b	resorcinol
40	Freshwater	 12.89206	 25.13118	 53.88400	a	T3PKS
41	Marine	 13.26088	 29.56375	109.57500	c	T3PKS
42	Terrestrial	 13.85782	 32.73450	107.73000	b	T3PKS
43	Freshwater	17.23429	45.88293	85.10400	a	acyl_amino_acids
44	Marine	21.32022	43.96526	91.72000	a	acyl_amino_acids
45	Terrestrial	18.82736	48.80487	91.86300	a	acyl_amino_acids
46	Freshwater	 4.708059	15.464300	20.504000	a	linaridin
47	Marine	 4.046462	20.535143	27.705000	b	linaridin
48	Terrestrial	 3.436818	18.758750	20.513000	ab	linaridin
49	Freshwater	 9.25990	24.77430	31.04300	a	cyanobactin
50	Marine	10.02709	19.70609	44.06300	a	cyanobactin
51	Terrestrial	NA	21.93200	21.93200	a	cyanobactin
52	Freshwater	15.09816	30.05750	78.45100	a	phosphonate
53	Marine	13.32504	29.77830	68.66500	a	phosphonate
54	Terrestrial	10.49223	35.67661	68.53800	a	phosphonate
55	Freshwater	 8.560167	14.968400	32.633000	a	PUFA
56	Marine	19.412139	34.801530	82.192000	b	PUFA
57	Terrestrial	NA	27.173000	27.173000	ab	PUFA
58	Freshwater	 9.788376	25.013406	46.008000	ab	thiopeptide
59	Marine	 9.600653	28.629933	55.157000	b	thiopeptide
60	Terrestrial	 6.535903	25.928347	71.485000	a	thiopeptide
61	Freshwater	 9.730195	17.392826	61.891000	a	hserlactone
62	Marine	 8.304570	20.035899	91.720000	c	hserlactone
63	Terrestrial	14.738616	25.161368	84.450000	b	hserlactone
64	Freshwater	 5.743485	19.138365	29.207000	a	lassopeptide
65	Marine	 9.246194	23.260500	89.960000	b	lassopeptide
66	Terrestrial	 7.596262	21.226040	64.912000	a	lassopeptide
67	Freshwater	 7.039660	18.226267	46.008000	a	lanthipeptide
68	Marine	 8.389739	21.631175	72.278000	b	lanthipeptide
69	Terrestrial	 9.204919	22.600221	76.249000	b	lanthipeptide
70	Freshwater	14.47996	21.56838	63.23500	a	other
71	Marine	11.85073	29.56406	47.34800	b	other
72	Terrestrial	11.49526	29.89845	41.98000	b	other
73	Freshwater	 2.299250	10.094222	13.471000	a	butyrolactone
74	Marine	17.774213	21.455514	58.931000	a	butyrolactone
75	Terrestrial	 5.552932	11.856033	41.044000	a	butyrolactone
76	Freshwater	 9.713979	20.615268	46.008000	a	LAP
77	Marine	 9.993249	23.348835	49.548000	a	LAP
78	Terrestrial	 9.987167	23.982363	63.354000	a	LAP
79	Freshwater	 0.9192388	12.2040000	12.8540000	a	T2PKS
80	Marine	30.1761846	58.9848000	72.4800000	a	T2PKS
81	Terrestrial	NA	 8.3040000	 8.3040000	a	T2PKS
82	Freshwater	 51.23825	 34.21100	125.79900	a	PKS-like
83	Marine	 18.73461	 40.16537	 67.16600	a	PKS-like
84	Terrestrial	 26.35594	 41.03711	101.44100	a	PKS-like
85	Freshwater	 3.223599	19.060923	21.413000	a	CDPS
86	Marine	11.037164	20.861277	61.668000	a	CDPS
87	Terrestrial	16.631226	23.675333	56.988000	a	CDPS
88	Freshwater	19.46927	31.37929	76.41400	a	ladderane
89	Marine	12.82128	27.03891	48.46300	a	ladderane
90	Terrestrial	16.69933	36.01271	95.38300	b	ladderane
91	Freshwater	 4.39688810	16.03550000	20.96900000	a	nucleoside
92	Marine	 5.24600125	16.86473333	20.96000000	a	nucleoside
93	Terrestrial	 0.06091798	20.97700000	21.04700000	a	nucleoside
94	Freshwater	 5.877454	15.208600	21.941000	a	indole
95	Marine	17.778187	25.991333	54.122000	a	indole
96	Terrestrial	 7.974177	20.215000	41.098000	a	indole
97	Freshwater	 31.68289	 23.00025	119.41600	a	transAT-PKS-like
98	Marine	 37.22618	 41.11943	109.57500	a	transAT-PKS-like
99	Terrestrial	 34.34377	 35.26477	107.73000	a	transAT-PKS-like
100	Freshwater	 3.913157	10.762250	15.391000	a	microviridin
101	Marine	NA	20.162000	20.162000	ab	microviridin
102	Terrestrial	 3.710071	18.612000	20.897000	b	microviridin
103	Freshwater	 5.126206	14.206500	20.168000	a	sactipeptide
104	Marine	 7.921717	16.010500	21.612000	ab	sactipeptide
105	Terrestrial	 5.448478	18.400337	40.268000	b	sactipeptide
106	Freshwater	 8.630629	20.220000	32.062000	a	proteusin
107	Marine	 5.470281	20.157071	26.273000	a	proteusin
108	Terrestrial	 4.145812	19.751714	23.719000	a	proteusin
109	Freshwater	 42.62425	 77.82583	125.79900	a	transAT-PKS
110	Marine	 29.02326	 68.98844	109.57500	a	transAT-PKS
111	Terrestrial	 34.36301	 52.86022	107.73000	a	transAT-PKS
