	Group	std	mean	Max	Letters	BGC_Class
1	Freshwater	 6.533769	12.127637	52.000000	a	RiPPs
2	Marine	 5.710959	12.205922	57.000000	a	RiPPs
3	Terrestrial	 6.191942	13.532766	55.000000	b	RiPPs
4	Freshwater	 6.038777	16.030908	40.000000	a	Terpene
5	Marine	 5.723098	17.594165	41.000000	b	Terpene
6	Terrestrial	 5.453720	17.632850	35.000000	b	Terpene
7	Freshwater	13.58214	20.57790	65.00000	a	Others
8	Marine	11.81255	18.88011	74.00000	c	Others
9	Terrestrial	12.73337	21.60278	64.00000	b	Others
10	Freshwater	13.26383	19.98544	57.00000	a	NRPS
11	Marine	14.88518	20.32123	66.00000	a	NRPS
12	Terrestrial	15.60775	22.95416	69.00000	b	NRPS
13	Freshwater	12.74905	20.18715	55.00000	a	PKS
14	Marine	14.04297	22.24036	79.00000	c	PKS
15	Terrestrial	14.46769	23.76074	54.00000	b	PKS
