	Group	std	mean	Max	Letters	BGC_Class
1	Freshwater	  7.501845	 12.976564	 60.639000	a	RiPPs
2	Marine	  8.629149	 12.750098	124.235000	a	RiPPs
3	Terrestrial	  9.252425	 16.402017	115.218000	b	RiPPs
4	Freshwater	 6.216898	17.149628	81.663000	a	Terpene
5	Marine	 5.654937	17.898586	88.574000	c	Terpene
6	Terrestrial	 6.575306	19.139925	75.289000	b	Terpene
7	Freshwater	 15.95870	 26.46542	 85.10400	a	Others
8	Marine	 15.05194	 25.17879	 98.43700	c	Others
9	Terrestrial	 15.26756	 28.38323	114.22200	b	Others
10	Freshwater	 17.85711	 32.10011	114.79700	a	NRPS
11	Marine	 21.42928	 35.94257	124.23500	b	NRPS
12	Terrestrial	 20.98469	 36.16429	275.33900	b	NRPS
13	Freshwater	 18.43214	 30.34294	125.79900	a	PKS
14	Marine	 19.38728	 34.18016	117.81100	c	PKS
15	Terrestrial	 24.05659	 37.76791	275.33900	b	PKS
