IDGroup	phylum	num	Type
Freshwater	p__Bdellovibrionota_C	5	1niches
Freshwater	p__Caldatribacteriota	1	1niches
Freshwater	p__CG03	3	1niches
Freshwater	p__Delongbacteria	4	1niches
Freshwater	p__Desantisbacteria	1	1niches
Freshwater	p__DSWW01	1	1niches
Freshwater	p__Firestonebacteria	4	1niches
Freshwater	p__Goldbacteria	2	1niches
Freshwater	p__JABDJQ01	2	1niches
Freshwater	p__Methylomirabilota	8	1niches
Freshwater	p__Ratteibacteria	1	1niches
Freshwater	p__RBG-13-61-14	1	1niches
Freshwater	p__Riflebacteria	3	1niches
Freshwater	p__Sumerlaeota	3	1niches
Freshwater	p__SZUA-79	1	1niches
Freshwater	p__UBA10199	4	1niches
Freshwater	p__UBA9089	1	1niches
Freshwater	p__UBP15	1	1niches
Freshwater	p__UBP7_A	1	1niches
Marine	p__Aerophobota	1	1niches
Marine	p__Aquificota	7	1niches
Marine	p__Calditrichota	3	1niches
Marine	p__Coprothermobacterota	3	1niches
Marine	p__Nitrospinota_A	2	1niches
Marine	p__Nitrospinota_B	2	1niches
Marine	p__Poribacteria	4	1niches
Marine	p__RBG-13-66-14	2	1niches
Marine	p__SAR324	147	1niches
Marine	p__TA06	4	1niches
Marine	p__Thermosulfidibacterota	1	1niches
Marine	p__Thermotogota	7	1niches
Marine	p__UBA3054	1	1niches
Marine	p__UBP14	1	1niches
Marine	p__UBP17	9	1niches
Freshwater	p__UBP7_A	1	1niches
Marine	p__UBP7	6	1niches
Terrestrial	p__Deferribacterota	2	1niches
Terrestrial	p__Dormibacterota	6	1niches
Terrestrial	p__Firmicutes_E	3	1niches
Terrestrial	p__Firmicutes_F	3	1niches
Terrestrial	p__Firmicutes_G	2	1niches
Terrestrial	p__Firmicutes_H	5	1niches
Freshwater	p__Armatimonadota	17	2niches
Terrestrial	p__Armatimonadota	6	2niches
Freshwater	p__Bipolaricaulota	2	2niches
Marine	p__Bipolaricaulota	9	2niches
Freshwater	p__CAIJMQ01	2	2niches
Marine	p__CAIJMQ01	1	2niches
Freshwater	p__Caldisericota	6	2niches
Terrestrial	p__Caldisericota	2	2niches
Freshwater	p__Cloacimonadota	3	2niches
Marine	p__Cloacimonadota	3	2niches
Freshwater	p__CSP1-3	1	2niches
Terrestrial	p__CSP1-3	5	2niches
Freshwater	p__Desulfobacterota_G	9	2niches
Terrestrial	p__Desulfobacterota_G	1	2niches
Freshwater	p__Edwardsbacteria	1	2niches
Terrestrial	p__Edwardsbacteria	1	2niches
Freshwater	p__Eisenbacteria	3	2niches
Marine	p__Eisenbacteria	2	2niches
Freshwater	p__Elusimicrobiota	17	2niches
Terrestrial	p__Elusimicrobiota	1	2niches
