ID	Ref
3300013094_32	GCA_903935335.1
3300025358_1	GCA_903935335.1
3300025396_3	GCA_903935335.1
3300025418_3	GCA_903935335.1
3300025782_1	GCA_903935335.1
3300015360_44	GCA_002794515.1
3300020192_24	GCA_002794515.1
3300020201_27	GCA_002794515.1
3300020203_21	GCA_002794515.1
3300020596_21	GCA_002794515.1
3300017531_13	GCA_013388605.1
3300014203_33	GCA_012728215.1
3300018868_7	GCF_014284125.1
3300017399_4	GCF_000174415.1
3300014720_28	GCF_003367075.1
anoxic_mOTU_0066	GCA_903897715.1
3300013004_118	GCA_002292805.1
3300028559_57	GCA_002292805.1
3300028569_72	GCA_002292805.1
3300013126_120	GCA_002422535.1
3300013137_178	GCA_002422535.1
3300013127_30	GCA_903822335.1
3300013128_35	GCA_903822335.1
3300013133_37	GCA_903822335.1
3300017526_18	GCA_903822335.1
3300011368_1	GCA_002403445.1
anoxic_mOTU_2533	GCA_903844895.1
3300027743_16	GCA_002839495.1
3300029891_18	GCA_002839495.1
anoxic_mOTU_0482	GCA_903926385.1
anoxic_mOTU_2257	GCA_903847205.1
3300029821_25	GCA_002841975.1
anoxic_mOTU_3422	GCA_903867855.1
3300024946_1	GCA_002482685.1
anoxic_mOTU_0417	GCA_903822005.1
anoxic_mOTU_1145	GCA_903889905.1
3300013131_31	GCF_002251945.1
3300013132_34	GCF_002251945.1
3300014720_16	GCF_002251945.1
3300017788_39	GCF_002251945.1
3300014060_21	GCA_001873375.1
anoxic_mOTU_0060	GCA_903930455.1
anoxic_mOTU_3200	GCA_011388275.1
anoxic_mOTU_2526	GCA_903900685.1
anoxic_mOTU_2798	GCA_903925195.1
anoxic_mOTU_2436	GCA_903825105.1
anoxic_mOTU_2440	GCA_903825415.1
3300029891_20	GCA_002839535.1
3300023177_9	GCA_001464165.1
3300009083_42	GCA_001464165.1
3300009084_43	GCA_001464165.1
3300015360_31	GCA_001464165.1
3300020180_13	GCA_001464165.1
3300027823_12	GCA_001464165.1
3300027850_22	GCA_001464165.1
3300027878_28	GCA_001464165.1
3300027638_8	GCA_002007425.1
anoxic_mOTU_2259	GCA_903821635.1
anoxic_mOTU_1125	GCA_903828595.1
3300027712_31	GCA_903920865.1
anoxic_mOTU_0439	GCA_903825895.1
3300017788_33	GCA_002451275.1
3300027534_1	GCA_903912515.1
3300005805_22	GCA_014379305.1
3300013392_2	GCA_008636095.1
3300027760_24	GCA_900299205.1
3300007517_50	GCF_010686655.1
3300029821_23	GCA_002839355.1
3300029890_10	GCA_002839355.1
3300014656_14	GCA_003641405.1
3300027815_18	GCA_005877655.1
3300013126_96	GCA_003142435.1
anoxic_mOTU_2057	GCA_009780035.1
3300013136_68	GCA_003154195.1
3300027835_31	GCA_000405945.1
anoxic_mOTU_1136	GCA_903864455.1
3300013131_122	GCA_002422845.1
3300013132_140	GCA_002422845.1
3300027970_52	GCA_903860855.1
3300028553_51	GCA_903860855.1
anoxic_mOTU_0527	GCA_903887235.1
3300027649_30	GCA_014190895.1
3300027816_38	GCA_013288625.1
anoxic_mOTU_1990	GCA_903898475.1
anoxic_mOTU_2550	GCA_903849835.1
anoxic_mOTU_1690	GCA_903937405.1
3300028557_51	GCA_009921385.1
3300027754_37	GCA_903858915.1
anoxic_mOTU_0463	GCA_903912365.1
3300020200_73	GCA_903870105.1
3300027733_13	GCA_002422795.1
3300011984_2	GCF_002688585.1
anoxic_mOTU_0394	GCA_903869725.1
anoxic_mOTU_0587	GCA_000371745.1
anoxic_mOTU_0316	GCA_903861835.1
3300027819_28	GCA_903901045.1
anoxic_mOTU_0808	GCA_903901045.1
3300007519_46	GCA_002713695.1
3300007519_81	GCA_002422175.1
3300027832_70	GCA_002422175.1
3300027848_67	GCA_002422175.1
3300027723_3	GCA_001303695.1
3300027955_2	GCA_001303695.1
anoxic_mOTU_2189	GCA_903926605.1
3300017494_73	GCA_903842085.1
anoxic_mOTU_0390	GCA_903822205.1
anoxic_mOTU_3091	GCA_903929815.1
anoxic_mOTU_0948	GCA_903927025.1
anoxic_mOTU_2380	GCA_903894755.1
anoxic_mOTU_1971	GCA_903927345.1
anoxic_mOTU_2712	GCA_903910385.1
3300013094_10	GCA_903899015.1
3300022602_16	GCA_903899015.1
anoxic_mOTU_0286	GCA_903899015.1
3300028602_66	GCA_002382735.1
anoxic_mOTU_1499	GCA_903920485.1
3300007519_83	GCF_000496475.1
3300027832_69	GCF_000496475.1
3300013132_45	GCF_013004065.1
anoxic_mOTU_1951	GCF_013004065.1
anoxic_mOTU_0556	GCA_903898335.1
anoxic_mOTU_1057	GCA_903881085.1
3300009083_123	GCA_003452655.1
anoxic_mOTU_0876	GCA_903920005.1
anoxic_mOTU_1264	GCA_903825575.1
anoxic_mOTU_3549	GCA_903925705.1
3300029902_9	GCA_013815535.1
3300013093_42	GCA_903896045.1
anoxic_mOTU_0182	GCA_903896045.1
anoxic_mOTU_1356	GCA_903825645.1
anoxic_mOTU_2962	GCA_903892565.1
3300012183_9	GCA_013695475.1
3300012529_6	GCA_013695475.1
3300013132_35	GCA_903895855.1
3300014801_6	GCA_003530835.1
3300024311_10	GCA_003530835.1
3300024312_9	GCA_003530835.1
3300024492_5	GCA_003530835.1
3300027079_12	GCA_003530835.1
3300027160_11	GCA_003530835.1
3300028071_10	GCA_003530835.1
3300028269_6	GCA_003530835.1
anoxic_mOTU_1488	GCA_014189895.1
3300020732_5	GCA_903877935.1
anoxic_mOTU_0562	GCA_903900975.1
3300025424_3	GCF_003400305.1
3300013123_77	GCA_013350285.1
3300013125_89	GCA_013350285.1
3300013132_130	GCA_013350285.1
3300000230_13	GCA_002084355.1
3300027878_64	GCA_002473275.1
3300012044_16	GCA_013414645.1
3300013123_79	GCA_002783585.1
anoxic_mOTU_0501	GCA_013203355.1
3300003085_1	GCF_000021485.1
anoxic_mOTU_1235	GCA_903892045.1
anoxic_mOTU_1403	GCA_903928115.1
3300013131_36	GCA_005799545.1
3300027899_5	GCA_005799545.1
3300020219_24	GCA_002405485.1
3300027823_30	GCA_002405485.1
3300027850_44	GCA_002405485.1
3300020196_29	GCA_005799495.1
3300020204_37	GCA_005799495.1
3300021093_35	GCA_005799495.1
3300021376_34	GCA_005799495.1
3300021424_28	GCA_005799495.1
3300017473_18	GCA_005799495.1
anoxic_mOTU_2753	GCA_903824185.1
3300027976_15	GCA_005799745.1
3300027900_34	GCA_003524335.1
3300009084_94	GCA_903929885.1
3300015360_63	GCA_903929885.1
anoxic_mOTU_1588	GCA_903958085.1
3300013136_20	GCA_903926565.1
3300013138_27	GCA_903926565.1
anoxic_mOTU_1309	GCA_903959905.1
3300028571_21	GCA_903945175.1
anoxic_mOTU_0454	GCA_903945175.1
3300017532_32	GCA_903845055.1
anoxic_mOTU_0994	GCA_903832165.1
anoxic_mOTU_2177	GCA_903851365.1
3300017522_14	GCA_903877385.1
3300017532_30	GCA_903877385.1
anoxic_mOTU_0219	GCA_903877385.1
anoxic_mOTU_1127	GCA_903824935.1
anoxic_mOTU_1426	GCA_903837605.1
3300025376_1	GCA_903887775.1
3300025447_5	GCA_903887775.1
3300025476_4	GCA_903887775.1
anoxic_mOTU_0085	GCA_903887775.1
anoxic_mOTU_2145	GCA_903903985.1
anoxic_mOTU_2256	GCA_903847205.1
3300021424_38	GCA_005788035.1
3300027782_15	GCA_903844415.1
anoxic_mOTU_2660	GCA_903844415.1
3300028553_26	GCA_003456455.1
3300020192_29	GCA_002405435.1
3300020195_26	GCA_002405435.1
3300020201_33	GCA_002405435.1
anoxic_mOTU_3049	GCA_903854075.1
3300028569_39	GCA_009921445.1
3300028571_32	GCA_009921445.1
3300020196_59	GCA_005786915.1
3300027896_32	GCA_903844735.1
3300000230_14	GCA_003512955.1
3300000232_1	GCA_013141385.1
3300029821_27	GCA_002842515.1
anoxic_mOTU_0068	GCA_903939755.1
3300013123_43	GCA_001871325.1
anoxic_mOTU_0987	GCA_903929035.1
3300027739_8	GCA_002786785.1
anoxic_mOTU_2195	GCA_903882805.1
3300013126_49	GCA_007280875.1
3300017522_16	GCA_903901975.1
anoxic_mOTU_3098	GCA_903847905.1
3300006192_16	GCF_004365575.1
anoxic_mOTU_0560	GCA_903943955.1
3300029821_8	GCA_002839445.1
anoxic_mOTU_0648	GCA_903863935.1
anoxic_mOTU_1727	GCA_903901055.1
anoxic_mOTU_0662	GCA_903906365.1
anoxic_mOTU_1393	GCA_903910705.1
anoxic_mOTU_2237	GCA_903897765.1
3300022752_43	GCA_903864835.1
anoxic_mOTU_0550	GCA_903864835.1
3300013136_27	GCA_003731675.1
3300027792_1	GCA_003818205.1
anoxic_mOTU_0685	GCA_903835005.1
anoxic_mOTU_1620	GCA_903904855.1
anoxic_mOTU_0413	GCA_903829015.1
anoxic_mOTU_1635	GCA_903824665.1
anoxic_mOTU_1540	GCA_903887415.1
anoxic_mOTU_1741	GCA_903882965.1
anoxic_mOTU_1629	GCA_903887005.1
anoxic_mOTU_1366	GCA_903877645.1
anoxic_mOTU_3203	GCA_903911135.1
3300015370_18	GCA_002790835.1
anoxic_mOTU_1467	GCA_002790835.1
anoxic_mOTU_1438	GCA_903912525.1
anoxic_mOTU_2198	GCA_903912525.1
anoxic_mOTU_0681	GCA_903857865.1
anoxic_mOTU_1198	GCA_903892415.1
3300027815_40	GCA_011331325.1
3300027835_51	GCA_011331325.1
3300002091_1	GCA_003541895.1
3300027697_25	GCA_010027915.1
anoxic_mOTU_1153	GCA_903913285.1
anoxic_mOTU_1696	GCA_903911145.1
anoxic_mOTU_1032	GCA_903929315.1
3300027728_22	GCF_900112255.1
3300027900_45	GCA_013139225.1
anoxic_mOTU_3347	GCA_903821905.1
anoxic_mOTU_1420	GCA_903884185.1
3300020196_34	GCA_010027295.1
3300020197_40	GCA_010027295.1
3300020220_47	GCA_010027295.1
3300020578_41	GCA_010027295.1
3300020603_46	GCA_010027295.1
3300021091_42	GCA_010027295.1
3300021093_31	GCA_010027295.1
3300021518_10	GCA_903910385.1
3300009084_42	GCA_903905445.1
3300027850_25	GCA_903905445.1
3300007519_19	GCA_903933805.1
3300027832_19	GCA_903933805.1
3300007517_47	GCA_014379065.1
3300020186_14	GCA_014379065.1
3300027728_27	GCA_903960135.1
3300027730_26	GCA_903960135.1
3300027970_31	GCA_903960135.1
3300027977_32	GCA_903960135.1
3300028114_23	GCA_903960135.1
3300028571_35	GCA_903960135.1
3300028581_35	GCA_903960135.1
anoxic_mOTU_0124	GCA_903960135.1
3300020083_52	GCA_005789565.1
3300020183_43	GCA_005789565.1
3300020196_56	GCA_005789565.1
3300020221_61	GCA_005789565.1
3300021424_41	GCA_005789565.1
3300023174_43	GCA_903834825.1
3300012046_4	GCA_014379345.1
3300017788_79	GCA_003489485.1
3300005662_52	GCA_003489485.1
3300009083_50	GCF_004354985.1
3300017418_11	GCA_013140985.1
anoxic_mOTU_0772	GCA_903905685.1
3300017518_25	GCA_002352105.1
3300027816_24	GCA_001602415.1
3300027730_27	GCA_903899675.1
3300028114_22	GCA_903899675.1
anoxic_mOTU_2863	GCA_903899675.1
3300025405_1	GCA_903874055.1
anoxic_mOTU_1361	GCA_903874055.1
anoxic_mOTU_0204	GCA_903819975.1
anoxic_mOTU_2041	GCA_903944755.1
3300024908_4	GCA_903958995.1
anoxic_mOTU_2058	GCA_903831265.1
3300020730_2	GCA_903854235.1
3300020735_3	GCA_903854235.1
anoxic_mOTU_0083	GCA_903854235.1
anoxic_mOTU_3306	GCA_903881215.1
anoxic_mOTU_2413	GCA_903897145.1
3300009084_120	GCA_002426145.1
3300027850_80	GCA_002426145.1
3300020186_23	GCA_002344895.1
anoxic_mOTU_3283	GCA_903911805.1
3300013392_5	GCA_013791955.1
3300020171_9	GCA_013791955.1
anoxic_mOTU_1970	GCA_903896595.1
anoxic_mOTU_2161	GCA_002779345.1
anoxic_mOTU_1036	GCA_903883965.1
anoxic_mOTU_0006	GCA_903994525.1
anoxic_mOTU_0822	GCA_903866255.1
anoxic_mOTU_0375	GCA_903994455.1
anoxic_mOTU_1287	GCA_903843305.1
anoxic_mOTU_0228	GCA_903820085.1
anoxic_mOTU_1684	GCA_903822595.1
anoxic_mOTU_0190	GCA_903895195.1
3300017532_49	GCA_903869365.1
anoxic_mOTU_0175	GCA_903869365.1
3300000162_1	GCA_012972835.1
3300021126_3	GCA_012972835.1
3300020681_1	GCA_012972835.1
3300020683_2	GCA_012972835.1
3300020685_1	GCA_012972835.1
3300020689_2	GCA_012972835.1
3300020691_2	GCA_012972835.1
3300020695_3	GCA_012972835.1
3300020705_4	GCA_012972835.1
3300020706_3	GCA_012972835.1
3300020707_2	GCA_012972835.1
3300020712_5	GCA_012972835.1
3300020713_1	GCA_012972835.1
3300020715_5	GCA_012972835.1
3300020717_6	GCA_012972835.1
3300020718_2	GCA_012972835.1
3300020721_3	GCA_012972835.1
3300020722_2	GCA_012972835.1
3300020729_5	GCA_012972835.1
3300020730_4	GCA_012972835.1
3300020733_4	GCA_012972835.1
3300020735_6	GCA_012972835.1
3300021114_2	GCA_012972835.1
3300021133_2	GCA_012972835.1
3300025390_2	GCA_012972835.1
3300025395_2	GCA_012972835.1
3300025410_2	GCA_012972835.1
3300025420_3	GCA_012972835.1
3300025648_9	GCA_012972835.1
3300025777_1	GCA_012972835.1
3300025779_1	GCA_012972835.1
3300025788_3	GCA_012972835.1
anoxic_mOTU_0395	GCA_005843835.1
3300027841_20	GCF_001509575.1
anoxic_mOTU_0044	GCA_903839405.1
anoxic_mOTU_1965	GCA_903824045.1
3300017988_17	GCA_011374065.1
3300027128_8	GCA_009927275.1
3300027152_10	GCA_009927275.1
3300027494_10	GCA_009927275.1
3300027597_12	GCA_009927275.1
3300014152_10	GCA_003142515.1
3300017788_54	GCA_003456455.1
anoxic_mOTU_0922	GCA_903844645.1
anoxic_mOTU_2854	GCA_903834765.1
3300000227_20	GCA_012719345.1
anoxic_mOTU_1725	GCA_903901345.1
3300024930_4	GCF_000686885.1
3300027128_6	GCA_004293165.1
anoxic_mOTU_2222	GCA_903889745.1
3300024902_4	GCF_010119235.1
3300024911_3	GCF_010119235.1
3300024914_7	GCF_010119235.1
anoxic_mOTU_1337	GCA_903838055.1
anoxic_mOTU_0280	GCA_903840015.1
3300017518_24	GCA_002243285.1
anoxic_mOTU_0616	GCA_903927975.1
3300024970_3	GCA_903945495.1
anoxic_mOTU_0577	GCA_903945495.1
anoxic_mOTU_2548	GCA_903887095.1
anoxic_mOTU_1283	GCA_903850915.1
anoxic_mOTU_1989	GCA_903854205.1
3300017418_8	GCA_903912795.1
anoxic_mOTU_1054	GCA_903899795.1
3300017453_12	GCA_003488525.1
3300020084_46	GCA_003488525.1
3300021093_49	GCA_003488525.1
3300027793_28	GCA_003488525.1
anoxic_mOTU_0103	GCA_903944725.1
3300014208_154	GCA_001793865.1
3300017434_22	GCA_005792635.1
