ID	siderophore	cyanobactin	PpyS-KS	TfuA-related	furan	terpene	RaS-RiPP	lassopeptide	head_to_tail	hserlactone	PUFA	T1PKS	phosphoglycolipid	T3PKS	ectoine	transAT-PKS	hglE-KS	LAP	phenazine	NRPS	bottromycin	PKS-like	PBDE	T2PKS	linaridin	sactipeptide	acyl_amino_acids	tropodithietic-acid	nucleoside	NAGGN	butyrolactone	microviridin	betalactone	amglyccycl	proteusin	resorcinol	oligosaccharide	indole	other	ladderane	thiopeptide	CDPS	lanthipeptide	bacteriocin	arylpolyene	transAT-PKS-like	NRPS-like	phosphonate	GCF.fit_predict.clusterID	GCC.fit_predict.clusterID	Genome_id	Kingdom	Phylum	Class	Order	Family	Genus	Species	OTU	Freeliving	PhylumT
Freshwater_OTU_0002	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GC_37	GC_0	3300002091_2	Freshwater:d__Bacteria	Freshwater:p__Actinobacteriota	Freshwater:c__Actinomycetia	Freshwater:o__Actinomycetales	Freshwater:f__Microbacteriaceae	Freshwater:g__Conyzicola	Freshwater:s__	Freshwater_OTU_0002	Freshwater	Freshwater:p__Actinobacteriota
Freshwater_OTU_0003	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GC_170	GC_0	3300025400_1	Freshwater:d__Bacteria	Freshwater:p__Actinobacteriota	Freshwater:c__Actinomycetia	Freshwater:o__Nanopelagicales	Freshwater:f__Nanopelagicaceae	Freshwater:g__PALSA-747	Freshwater:s__	Freshwater_OTU_0003	Freshwater	Freshwater:p__Actinobacteriota
Freshwater_OTU_0005	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GC_170	GC_0	3300007519_37	Freshwater:d__Bacteria	Freshwater:p__Actinobacteriota	Freshwater:c__Acidimicrobiia	Freshwater:o__Acidimicrobiales	Freshwater:f__Ilumatobacteraceae	Freshwater:g__	Freshwater:s__	Freshwater_OTU_0005	Freshwater	Freshwater:p__Actinobacteriota
Freshwater_OTU_0006	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GC_65	GC_0	3300009083_107	Freshwater:d__Bacteria	Freshwater:p__Armatimonadota	Freshwater:c__Fimbriimonadia	Freshwater:o__Fimbriimonadales	Freshwater:f__Fimbriimonadaceae	Freshwater:g__UBA2391	Freshwater:s__	Freshwater_OTU_0006	Freshwater	Freshwater:Others
Freshwater_OTU_0007	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	GC_148	GC_0	3300009083_135	Freshwater:d__Bacteria	Freshwater:p__Chlamydiota	Freshwater:c__Chlamydiia	Freshwater:o__Chlamydiales	Freshwater:f__Parachlamydiaceae	Freshwater:g__	Freshwater:s__	Freshwater_OTU_0007	Freshwater	Freshwater:Others
Freshwater_OTU_0008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GC_248	GC_4	3300013138_103	Freshwater:d__Bacteria	Freshwater:p__Nitrospirota	Freshwater:c__Thermodesulfovibrionia	Freshwater:o__Thermodesulfovibrionales	Freshwater:f__UBA1546	Freshwater:g__	Freshwater:s__	Freshwater_OTU_0008	Freshwater	Freshwater:Others
Freshwater_OTU_0010	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GC_170	GC_0	3300013131_61	Freshwater:d__Bacteria	Freshwater:p__Delongbacteria	Freshwater:c__UBA4055	Freshwater:o__CAIWAD01	Freshwater:f__CAIWAD01	Freshwater:g__CAIWAD01	Freshwater:s__	Freshwater_OTU_0010	Freshwater	Freshwater:Others
Freshwater_OTU_0011	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	GC_127	GC_0	3300013138_37	Freshwater:d__Bacteria	Freshwater:p__Bacteroidota	Freshwater:c__Bacteroidia	Freshwater:o__Bacteroidales	Freshwater:f__Lentimicrobiaceae	Freshwater:g__Lentimicrobium	Freshwater:s__	Freshwater_OTU_0011	Freshwater	Freshwater:p__Bacteroidota
Freshwater_OTU_0013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	GC_225	GC_0	3300017988_25	Freshwater:d__Bacteria	Freshwater:p__Verrucomicrobiota	Freshwater:c__Verrucomicrobiae	Freshwater:o__	Freshwater:f__	Freshwater:g__	Freshwater:s__	Freshwater_OTU_0013	Freshwater	Freshwater:p__Verrucomicrobiota
Freshwater_OTU_0017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	GC_28	GC_2	3300014613_11	Freshwater:d__Bacteria	Freshwater:p__Proteobacteria	Freshwater:c__Gammaproteobacteria	Freshwater:o__Burkholderiales	Freshwater:f__Burkholderiaceae	Freshwater:g__Aquabacterium	Freshwater:s__Aquabacterium_parvum	Freshwater_OTU_0017	Freshwater	Freshwater:p__Proteobacteria
