GenomeID	Others	RiPPs	NRPS	PKS	Terpene
3300021376_15	0	0	0	0	3
3300014647_3	1	1	1	0	0
GORG_SAMEA6072924_SAGS_AG910G11	0	0	0	0	1
BATS_SAMN07137088_METAG_AMNAKDDM	0	0	0	0	2
TARA_SAMEA2622765_METAG_MGGIFNCB	0	0	1	0	0
3300025518_14	1	0	0	0	0
3300027897_31	0	0	0	1	0
3300011864_1	1	0	0	1	1
TARA_SAMEA2621401_METAG_DODGOGHO	0	0	0	0	1
3300025052_4	4	0	1	0	1
GORG_SAMEA6077021_SAGS_AG319F18	0	0	0	0	1
3300028569_51	0	1	0	0	0
3300013724_2	0	2	1	0	0
3300027607_41	0	0	0	0	2
3300020362_10	1	0	0	0	1
BATS_SAMN07137074_METAG_EHPJFMIB	0	0	0	0	1
3300027897_64	0	0	1	0	0
3300011216_5	0	4	1	0	0
3300025093_2	3	1	0	0	0
3300012241_2	2	1	2	1	1
3300013094_7	0	0	0	1	1
3300027555_7	1	2	0	0	0
3300011203_3	2	1	0	0	0
3300015370_13	3	1	0	0	2
TARA_SAMEA2620980_METAG_HOANNCOF	0	0	0	0	2
TARA_SAMEA4397295_METAG_HEGEJJIG	0	0	1	0	2
3300020192_27	0	0	0	0	2
TARA_SAMEA2622823_METAG_BGCLLDIO	0	0	0	0	1
3300020413_9	0	0	0	0	1
3300025114_7	1	2	1	0	0
TARA_SAMEA2623314_METAG_KAPLAEKP	4	0	2	1	1
3300009703_53	1	0	1	1	0
3300009083_43	1	1	3	1	4
GORG_SAMEA6076219_SAGS_AG422C22	0	0	0	0	1
MALA_SAMN05422143_METAG_IFLBMKFN	2	0	1	2	0
MARD_SAMD00043915_REFG_MMP00043915	2	2	1	0	0
TARA_SAMEA2622652_METAG_JKGJOOHH	0	1	0	0	3
3300020410_3	1	2	0	0	0
GORG_SAMEA6070064_SAGS_AG894A16	0	0	0	0	1
3300020183_14	1	0	0	1	2
3300027323_26	0	0	0	0	1
GORG_SAMEA6074277_SAGS_AG916O06	0	0	0	0	1
TARA_SAMEA4397649_METAG_HJEMJBHE	0	0	0	0	1
TARA_SAMEA2619992_METAG_OLPJMKGD	0	1	0	0	1
TARA_SAMEA4397815_METAG_FLLCJPDN	1	1	0	0	0
3300012921_38	2	0	0	0	0
TARA_SAMEA4396489_METAG_BAKOCCBA	0	2	0	0	0
TARA_SAMEA2621216_METAG_LCPHBNHL	2	0	0	0	0
TARA_SAMEA2620824_METAG_CHMCGJIA	0	0	1	3	1
TARA_SAMEA2622796_METAG_PLIEIEDC	1	1	0	1	2
GORG_SAMEA6067798_SAGS_AH287I04	0	0	0	0	1
3300013103_34	1	3	0	0	1
GORG_SAMEA6080269_SAGS_AG439F23	0	0	0	0	1
TARA_SAMEA4397815_METAG_ALEIDEAC	0	2	0	0	0
TARA_SAMEA4397295_METAG_NJJHJPKO	1	2	2	2	1
3300013125_75	0	0	0	1	0
TARA_SAMEA2623826_METAG_LEFOAHNC	0	0	0	0	1
TARA_SAMEA4397363_METAG_HPDCBDAL	2	1	1	1	1
GORG_SAMEA6073463_SAGS_AG913A04	0	0	0	0	1
3300020221_58	1	0	0	0	2
3300011659_1	2	1	3	1	1
3300011945_1	4	0	0	2	1
TARA_SAMEA4397930_METAG_BAOKLFLB	0	0	0	0	2
GORG_SAMEA6077877_SAGS_AG337E20	0	0	0	1	2
3300005858_3	0	0	0	0	1
TARA_SAMEA2619667_METAG_OGCCKILL	0	0	0	0	1
TARA_SAMEA2619531_METAG_LADHKJJF	1	0	0	0	0
3300024423_14	1	0	0	0	0
TARA_SAMEA2619531_METAG_AOLGLPAP	1	0	0	0	1
3300022933_34	0	0	0	0	1
3300021424_28	0	0	0	1	2
TARA_SAMEA2591122_METAG_MLOLBKPC	0	0	0	0	2
TARA_SAMEA4396515_METAG_CBOBEGLJ	2	1	0	0	0
MARD_SAMN02671361_SAGS_MMP02671361	0	0	0	0	3
3300010373_56	0	1	0	0	0
3300011230_6	4	0	0	0	0
3300020347_4	2	1	0	0	1
3300025562_6	0	1	0	0	1
TARA_SAMEA2623275_METAG_FFCILAGJ	1	0	0	1	2
BGEO_SAMN07136638_METAG_OGPPIPDF	0	0	0	1	2
3300027878_41	2	3	2	0	1
3300024354_8	0	0	0	0	1
3300011203_1	1	1	0	1	1
BATS_SAMN07137089_METAG_INMJCONJ	0	1	0	0	1
GORG_SAMEA6075214_SAGS_AG349G20	0	0	0	1	2
TARA_SAMEA2622823_METAG_GLGJBNIP	1	0	0	0	0
3300017532_12	1	1	2	1	3
MARD_SAMN08886210_SAGS_MMP08886210	0	1	0	0	3
3300025296_14	1	1	0	0	0
3300012865_2	0	5	2	4	2
3300025560_2	0	0	0	1	0
TARA_SAMEA4397445_METAG_GIPEALJA	3	0	1	1	1
MARD_SAMN08886153_SAGS_MMP08886153	0	1	0	0	2
TARA_SAMEA4397586_METAG_OPBMMDJG	2	1	0	0	0
3300007771_5	0	0	0	0	2
GORG_SAMEA6071135_SAGS_AG899J23	0	0	0	0	1
3300021130_5	0	1	0	0	0
MARD_SAMN08886513_SAGS_MMP08886513	0	1	0	0	3
TARA_SAMEA2622452_METAG_PHPDPEMF	0	0	0	0	1
GORG_SAMEA6074522_SAGS_AG918B08	0	0	0	0	1
3300027162_6	0	0	0	0	1
TARA_SAMEA2621423_METAG_PHJFJMHP	0	0	0	0	2
GORG_SAMEA6074347_SAGS_AG917D03	0	0	0	0	1
TARA_SAMEA2623314_METAG_AJNKELNF	1	0	0	0	0
3300011210_1	2	0	0	0	1
3300014060_21	1	0	0	1	1
TARA_SAMEA2622376_METAG_KBEOCLLG	1	0	0	0	2
TARA_SAMEA2623446_METAG_CAGACCPM	5	2	0	0	1
3300011513_3	1	1	0	0	0
3300017418_9	0	0	1	0	1
3300013467_1	6	0	1	0	1
3300011355_1	4	1	4	0	0
TARA_SAMEA4398168_METAG_AFIMNHLL	2	0	0	1	2
TARA_SAMEA4397586_METAG_PFHBEKHI	3	1	0	1	0
3300024906_2	0	0	0	0	1
MARD_SAMN07818924_REFG_MMP07818924	4	1	0	0	0
3300011950_5	3	0	0	0	1
TARA_SAMEA2622737_METAG_AFKPDIGP	0	0	0	0	1
TARA_SAMEA2622097_METAG_PNKFOLCJ	0	0	0	0	1
MARD_SAMN04487868_REFG_MMP04487868	4	1	0	0	0
3300014203_32	0	1	0	0	0
GORG_SAMEA6072823_SAGS_AG909P19	0	0	0	0	1
TARA_SAMN05326646_METAG_PSW00039	0	0	1	0	0
TARA_SAMEA4397930_METAG_NGAJMGJB	0	0	0	0	1
GORG_SAMEA6070038_SAGS_AG893P02	0	0	0	0	1
MALA_SAMN05422107_METAG_BHNCMDMP	1	0	1	2	0
TARA_SAMEA2620384_METAG_KNFDGPKC	1	2	0	0	0
MALA_SAMN05421697_METAG_OILIAGNK	0	1	1	1	0
GORG_SAMEA6075298_SAGS_AG349M21	0	0	0	0	1
3300027983_58	0	0	0	1	1
TARA_SAMEA4398247_METAG_EFGINLON	0	0	0	0	1
TARA_SAMEA2620786_METAG_FIJADCCL	0	0	0	0	2
TARA_SAMEA4397004_METAG_NEJOAOBK	2	0	0	0	0
3300015360_55	1	1	1	0	0
TARA_SAMEA4397920_METAG_IGHDIIEB	3	2	0	1	1
3300011137_3	0	3	0	0	0
3300012014_10	1	0	0	0	1
3300028571_32	0	0	0	0	1
TARA_SAMEA4398219_METAG_LNINLLKB	0	0	0	0	1
TARA_SAMEA2622842_METAG_GMPLCBLJ	0	0	0	0	1
3300020300_11	1	1	0	0	0
3300013128_35	1	0	0	0	0
3300017655_12	2	3	1	1	2
TARA_SAMEA4396971_METAG_ACALKGFN	0	0	0	0	2
GORG_SAMEA6077830_SAGS_AG337C09	0	0	0	0	1
GORG_SAMEA6075327_SAGS_AG349O13	0	0	0	0	1
3300025168_4	5	0	0	0	0
3300027570_12	0	1	0	1	1
TARA_SAMEA2622801_METAG_AHOIAMPO	1	1	0	0	0
3300027968_16	2	1	0	0	1
Genome_183	1	0	0	0	2
3300011907_2	2	1	2	1	1
MARD_SAMN09074797_REFG_MMP09074797	1	0	1	2	1
3300027800_19	1	0	2	0	1
GORG_SAMEA6077336_SAGS_AG325G21	0	0	0	0	1
TARA_SAMEA2619952_METAG_JPCHGGGP	0	0	0	0	1
MARD_SAMN05444385_REFG_MMP05444385	4	1	1	1	0
3300011631_3	4	1	3	0	0
TARA_SAMEA2621839_METAG_GAEDMOID	0	0	0	0	2
TARA_SAMEA2623403_METAG_KPMKEFGB	2	1	2	0	0
